;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-6681 ;Airbus A320-214; C4Y156 ; 20 Jul 2010 ;; 11.7 Years ;;;
; B-6682 ;Airbus A320-214; C4Y156 ; 21 Sep 2010 ;; 11.5 Years ;;;
; B-6702 ;Airbus A320-214; C4Y156 ; 16 Nov 2010 ;; 11.3 Years ;;;
; B-6703 ;Airbus A320-214; C4Y156 ; 1 Dec 2010 ;; 11.3 Years ;;;
; B-6737 ;Airbus A320-214; C4Y156 ; 17 Feb 2011 ;; 11.1 Years ;;;
; B-6739 ;Airbus A320-214; C4Y156 ; 29 Apr 2011 ;; 10.9 Years ;;;
; B-6762 ;Airbus A320-232; C4Y156 ; 15 Jul 2011 ;; 10.7 Years ;;;
; B-6766 ;Airbus A320-232; C4Y156 ; 17 Apr 2012 ;; 9.9 Years ;;;
; B-6775 ;Airbus A320-214; C8Y144 ; 8 Mar 2011 ;lsd ; 11 Years ;;;
; B-6776 ;Airbus A320-214; C8Y144 ; 20 Apr 2011 ;lsd ; 10.9 Years ;;;
; B-6782 ;Airbus A320-214; C8Y144 ; 29 Jul 2011 ;lsd ; 10.6 Years ;;;
; B-6783 ;Airbus A320-214; C8Y144 ; 19 Aug 2011 ; Parked, lsd ; 10.6 Years ;;;
; B-6785 ;Airbus A320-214; C8Y144 ; 29 Sep 2011 ;lsd ; 10.4 Years ;;;
; B-6786 ;Airbus A320-232; C4Y156 ; 28 Jul 2011 ;; 10.6 Years ;;;
; B-6812 ;Airbus A320-232; C8Y144 ; 21 Oct 2011 ;lsd ; 10.4 Years ;;;
; B-6813 ;Airbus A320-232; C8Y144 ; 27 Oct 2011 ;lsd ; 10.4 Years ;;;
; B-6815 ;Airbus A320-214; C8Y144 ; 21 Nov 2011 ;lsd ; 10.3 Years ;;;
; B-6816 ;Airbus A320-232; C8Y144 ; 25 Nov 2011 ;lsd ; 10.3 Years ;;;
; B-6817 ;Airbus A320-214; C8Y144 ; 13 Oct 2011 ;lsd ; 10.4 Years ;;;
; B-6826 ;Airbus A320-232; C4Y156 ; 23 Dec 2011 ;; 10.2 Years ;;;
; B-6827 ;Airbus A320-232; C8Y144 ; 29 Dec 2011 ;lsd ; 10.2 Years ;;;
; B-6895 ;Airbus A320-232; C4Y156 ; 15 Jun 2012 ;; 9.8 Years ;;;
; B-6896 ;Airbus A320-232; C4Y156 ; 7 Jun 2012 ;; 9.8 Years ;;;
; B-6897 ;Airbus A320-232; C4Y156 ; 5 Jul 2012 ;; 9.7 Years ;;;
; B-6908 ;Airbus A320-232; C4Y156 ; 9 Jul 2012 ;lsd ; 9.7 Years ;;;
; B-6909 ;Airbus A320-232; C4Y156 ; 25 Jul 2012 ;lsd ; 9.7 Years ;;;
; B-6910 ;Airbus A320-232; C4Y156 ; 29 Aug 2012 ;lsd ; 9.5 Years ;;;
; B-6911 ;Airbus A320-232; C4Y156 ; 17 Sep 2012 ;lsd ; 9.5 Years ;;;
; B-6945 ;Airbus A320-232; C4Y156 ; 3 Dec 2012 ;lsd ; 9.3 Years ;;;
; B-6946 ;Airbus A320-232; C4Y156 ; 21 Dec 2012 ;lsd ; 9.3 Years ;;;
; B-6975 ;Airbus A320-232; C8Y144 ; 25 Jan 2013 ;lsd ; 9.1 Years ;;;
; B-6976 ;Airbus A320-232; C8Y144 ; 15 Mar 2013 ;lsd ; 9 Years ;;;
; B-6977 ;Airbus A320-232; C8Y144 ; 8 Mar 2013 ;lsd ; 9 Years ;;;
; B-8339 ;Airbus A320-214(WL); C4Y162 ; 12 Apr 2016 ;lsd ; 6 Years ;;;
; B-8341 ;Airbus A320-214(WL); C4Y162 ; 12 Apr 2016 ;lsd ; 6 Years ;;;
