;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; 4X-EKA ;Boeing 737-858(WL); C16Y138 ; 24 Feb 1999 ; Parked ; 801 ; Tiberias ; 23.1 Years ;;
; 4X-EKB ;Boeing 737-858(WL); C16Y138 ; 21 Apr 1999 ; Parked ; 802 ; Ashkelon ; 22.9 Years ;;
; 4X-EKC ;Boeing 737-858(WL); C16Y138 ; 31 Jul 1999 ; Parked ; 803 ; Beit Shean ; 22.7 Years ;;
; 4X-EKF ;Boeing 737-8HX(WL); C16Y138 ; 30 Dec 2008 ; Parked, lsd ; 806 ; Kinneret ; 13.2 Years ;;
; 4X-EKH ;Boeing 737-85P(WL); C16Y138 ; 17 Apr 2009 ;; 807 ; Hadera ; 12.9 Years ;;
; 4X-EKI ;Boeing 737-86N(WL); C16Y138 ; 31 Aug 2019 ;lsd ; 812 ; Modi'in Maccabim Re'ut / מודיעין מכבים רעות ; 23.1 Years ;;
; 4X-EKJ ;Boeing 737-85P(WL); C16Y138 ; 20 May 2009 ;; 808 ; Degania / דגניה ; 12.8 Years ;;
; 4X-EKK ;Boeing 737-85R(WL);; 14 Feb 2020 ; Parked TLV, lsd ;; Givat Shmuel ; 7.2 Years ;;
; 4X-EKL ;Boeing 737-85P(WL); C16Y138 ; 22 Jun 2009 ;; 809 ; Nahalal / נהלל ; 12.7 Years ;;
; 4X-EKM ;Boeing 737-804(WL); W36Y144 ; Jul 2018 ;lsd ; 816 ; Ramla / רמלה ; 22 Years ;;
; 4X-EKO ;Boeing 737-86Q(WL); W36Y144 ; Jul 2018 ; Parked, lsd ; 813 ; Lod / לוד ; 18.9 Years ;;
; 4X-EKP ;Boeing 737-8Q8(WL); C16Y138 ; 24 Jan 2006 ; Parked, lsd ; 814 ; Nahariya / נהריה ; 20.5 Years ;;
; 4X-EKR ;Boeing 737-804(WL); Y185 ; 16 May 2012 ;lsd, opf Sun d'Or International Airlines ; 817 ; Givatayim / גבעתיים ; 22 Years ;;
; 4X-EKS ;Boeing 737-8HX(WL); C16Y138 ; 25 Aug 2008 ; Parked, lsd ; 815 ; Caesarea / קיסריה ; 13.6 Years ;;
; 4X-EKT ;Boeing 737-8BK(WL); W36Y144 ; Jul 2018 ;lsd ; 810 ; Bet Shemesh / בית שמש ; 15.7 Years ;;
; 4X-EKU ;Boeing 737-8Z9(WL); W36Y144 ; Jul 2018 ; Parked, lsd ; 818 ; Raanana / רעננה ; 15.8 Years ;;
; 4X-EHA ;Boeing 737-958ER(WL); C16Y156 ; 8 Oct 2013 ;; 831 ; Kiryat Ono ; 8.4 Years ;;
; 4X-EHB ;Boeing 737-958ER(WL); C16Y156 ; 26 Nov 2013 ;; 832 ; Kiryat Bialik ; 8.3 Years ;;
; 4X-EHC ;Boeing 737-958ER(WL); C16Y156 ; 9 Jul 2014 ;; 833 ; Kiryat Ata ; 7.7 Years ;;
; 4X-EHD ;Boeing 737-958ER(WL); C16Y156 ; 10 Mar 2015 ;"سلام / Peace / שָׁלוֹם" sticker ; 834 ; Kiryat Gat ; 7 Years ;;
; 4X-EHE ;Boeing 737-958ER(WL); C16Y156 ; 25 Mar 2014 ;; 835 ; Kiryat Tiv'on ; 8 Years ;;
; 4X-EHF ;Boeing 737-958ER(WL); C16Y156 ; 12 Feb 2016 ;; 836 ; Kiryat Yam ; 6.1 Years ;;
; 4X-EHH ;Boeing 737-958ER(WL); C16Y156 ; 26 Feb 2016 ;; 837 ; Kiryat Motzkin ; 6 Years ;;
; 4X-EHI ;Boeing 737-958ER(WL); C16Y156 ; 16 Mar 2016 ;; 838 ; Kiryat Malakhi ; 6 Years ;;
; 4X-ECA ;Boeing 777-258ER; F6C35W34Y204 ; 29 Jan 2001 ; Parked ; 101 ; Petah Tikva / פתח תקווה ; 21.1 Years ;;
; 4X-ECB ;Boeing 777-258ER; F6C35W34Y204 ; 21 Feb 2001 ; Parked ; 102 ; Netanya / נתניה ; 21 Years ;;
; 4X-ECC ;Boeing 777-258ER; F6C35W34Y204 ; 11 Apr 2001 ; Parked ; 103 ; Holon / חולון ; 20.9 Years ;;
; 4X-ECD ;Boeing 777-258ER; F6C35W34Y204 ; 6 Jun 2002 ; Parked ; 104 ; Ramat Gan / רמת גן ; 19.8 Years ;;
; 4X-ECE ;Boeing 777-258ER; F6C35W34Y204 ; 23 Jul 2007 ; Parked ; 105 ; Sderot / שדרות ; 14.7 Years ;;
; 4X-ECF ;Boeing 777-258ER; F6C35W34Y204 ; 18 Aug 2007 ; Parked ; 106 ; Kiryat Shmona / קרית שמונה ; 14.6 Years ;;
; 4X-ERA ;Boeing 787-8 Dreamliner; C20W35Y180 ; 27 Nov 2019 ;;; Ramat HaSharon / רמת השרון ; 2.3 Years ;;
; 4X-ERB ;Boeing 787-8 Dreamliner; C20W35Y180 ; 18 Dec 2019 ;;; Hod HaSharon / הוד השרון ; 2.2 Years ;;
; 4X-ERC ;Boeing 787-8 Dreamliner; C20W35Y180 ; 19 Feb 2020 ;;; Daliat El Carmel / דלית אל כרמל ; 2 Years ;;
; 4X-ERD ;Boeing 787-8 Dreamliner; C20W35Y180 ; On Order ;;; Nof HaGalil ; 2 Years ;;
; 4X-EDA ;Boeing 787-9 Dreamliner; C32W35Y204 ; 20 Aug 2017 ;lsd ;; Ashdod / אַשְׁדּוֹד ; 4.6 Years ;;
; 4X-EDB ;Boeing 787-9 Dreamliner; C32W35Y204 ; 4 Oct 2017 ;lsd ;; Rishon Lezion / ראשון לציון ; 4.4 Years ;;
; 4X-EDC ;Boeing 787-9 Dreamliner; C32W35Y204 ; 21 Feb 2018 ;lsd ;; Tel Aviv-Jaffa / תל אביב - יפו ; 4.1 Years ;;
; 4X-EDD ;Boeing 787-9 Dreamliner; C32W35Y204 ; 1 Mar 2018 ;;; Haifa / חיפה ; 4 Years ;;
; 4X-EDE ;Boeing 787-9 Dreamliner; C32W35Y204 ; 27 Jun 2018 ;;; Bat Yam / בת ים ; 3.7 Years ;;
; 4X-EDF ;Boeing 787-9 Dreamliner; C32W35Y204 ; 10 Aug 2018 ;70th Anniversary Retro cs ;; Rehovot / רְחוֹבוֹת ; 3.6 Years ;;
; 4X-EDH ;Boeing 787-9 Dreamliner; C32W35Y204 ; 29 Oct 2018 ;lsd ;; Beer Sheva ; 3.4 Years ;;
; 4X-EDI ;Boeing 787-9 Dreamliner; C32W35Y204 ; 14 Jan 2019 ;lsd ;; Herzliya / הרצליה ; 3.2 Years ;;
; 4X-EDJ ;Boeing 787-9 Dreamliner; C32W35Y204 ; 2 Apr 2019 ;lsd ;; Kfar Saba / כפר סבא ; 3 Years ;;
; 4X-EDK ;Boeing 787-9 Dreamliner; C32W35Y204 ; 18 Jun 2019 ;;; Eilat ; 2.7 Years ;;
; 4X-EDL ;Boeing 787-9 Dreamliner; C32W35Y204 ; 11 Jul 2019 ;lsd ;; Akko / עכו ; 2.7 Years ;;
