;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;;
; N205FR ;Airbus A320-214; Y180 ; 30 Mar 2010 ; Parked, lsd, "Ozzy the Orca" tail ; 205 ;; 11.9 Years ;;;
; N206FR ;Airbus A320-214; Y180 ; 27 Apr 2010 ;lsd, "Alberta & Clipper the Polar Bears" tail ; 206 ;; 11.9 Years ;;;
; N207FR ;Airbus A320-214; Y180 ; 11 May 2010 ;lsd, "Thunder the American Bison" tail ; 207 ;; 11.8 Years ;;;
; N210FR ;Airbus A320-214; Y180 ; 21 Apr 2011 ;lsd, "Sheldon the Green Sea Turtle" tail ; 210 ;; 10.9 Years ;;;
; N211FR ;Airbus A320-214; Y180 ; 10 May 2011 ;lsd, "Grizwald "Griz" the Grizzly Bear" tail ; 211 ;; 10.9 Years ;;;
; N213FR ;Airbus A320-214; Y180 ; 19 May 2011 ;lsd, "Montana the Elk" tail ; 213 ;; 10.8 Years ;;;
; N216FR ;Airbus A320-214; Y180 ; 27 Jun 2011 ;lsd, "Cliff the Mountain Goat" tail ; 216 ;; 10.7 Years ;;;
; N227FR ;Airbus A320-214(WL); Y180 ; 17 Jul 2014 ;lsd ; 227 ; Grizwald The Bear ; 7.7 Years ;;;
; N228FR ;Airbus A320-214(WL); Y180 ; 6 Feb 2015 ;lsd ; 228 ; Orville the Red Cardinal ; 9 Years ;;;
; N229FR ;Airbus A320-214(WL); Y180 ; 27 Apr 2015 ;lsd ; 229 ; Peachy the Fox ; 8.9 Years ;;;
; N230FR ;Airbus A320-214(WL); Y180 ; 7 Oct 2015 ;lsd ; 230 ; Betty The Bluebird ; 6.5 Years ;;;
; N232FR ;Airbus A320-214(WL); Y180 ; 19 Nov 2015 ;lsd ; 232 ; Sammy the Squirrel ; 6.3 Years ;;;
; N233FR ;Airbus A320-214(WL); Y180 ; 12 May 2016 ;lsd ; 233 ; Buck the Pronghorn ; 5.9 Years ;;;
; N235FR ;Airbus A320-214(WL); Y186 ; 8 Sep 2016 ;lsd ; 235 ; Pike the Otter ; 5.5 Years ;;;
; N236FR ;Airbus A320-214(WL); Y186 ; 17 Nov 2016 ;lsd ; 236 ; Marty the Marmot ; 5.3 Years ;;;
; N238FR ;Airbus A320-214(WL); Y186 ; 20 Dec 2016 ;lsd ; 238 ; Hugh the Manatee ; 5.2 Years ;;;
; N301FR ;Airbus A320-251N; Y186 ; 19 Oct 2016 ;lsd ; 301 ; Wilbur the Whitetail ; 5.6 Years ;;;
; N303FR ;Airbus A320-251N; Y186 ; 14 Nov 2016 ;lsd ; 303 ; Poppy the Prairie Dog ; 5.4 Years ;;;
; N304FR ;Airbus A320-251N; Y186 ; 12 Dec 2016 ;lsd ; 304 ; Jack the Rabbit ; 5.2 Years ;;;
; N305FR ;Airbus A320-251N; Y186 ; 29 Dec 2016 ;lsd ; 305 ; Cliff the Mountain Goat ; 5.2 Years ;;;
; N307FR ;Airbus A320-251N; Y186 ; 23 Feb 2017 ; Parked TPA, lsd ; 307 ; Champ the Bronco ; 5 Years ;;;
; N308FR ;Airbus A320-251N; Y186 ; 3 Apr 2017 ;lsd ; 308 ; Flo the Flamingo ; 4.9 Years ;;;
; N309FR ;Airbus A320-251N; Y186 ; 11 Apr 2017 ;lsd ; 309 ; Weston the Woodpecker ; 4.9 Years ;;;
; N310FR ;Airbus A320-251N; Y186 ; 18 May 2017 ;lsd ; 310 ; Sunny the Collared Lizard ; 4.8 Years ;;;
; N311FR ;Airbus A320-251N; Y186 ; 15 Jun 2017 ;lsd ; 311 ; Mia the Dolphin ; 4.7 Years ;;;
; N312FR ;Airbus A320-251N; Y186 ; 7 Nov 2017 ;lsd ; 312 ; Chocolate the Moose ; 4.3 Years ;;;
; N313FR ;Airbus A320-251N; Y186 ; 5 Sep 2017 ;lsd ; 313 ; Wiley the Bison ; 4.7 Years ;;;
; N316FR ;Airbus A320-251N; Y186 ; 12 Oct 2017 ;lsd ; 316 ; Shelly the Sea Turtle ; 4.4 Years ;;;
; N317FR ;Airbus A320-251N; Y186 ; 9 Nov 2017 ;lsd ; 317 ; Georgia the Painted Bunting ; 4.3 Years ;;;
; N318FR ;Airbus A320-251N; Y186 ; 20 Dec 2017 ;lsd ; 318 ; Flower the Hummingbird ; 4.2 Years ;;;
; N322FR ;Airbus A320-251N; Y186 ; 21 Dec 2017 ;lsd ; 322 ; Captain the Puffin ; 4.2 Years ;;;
; N323FR ;Airbus A320-251N; Y186 ; 4 Dec 2017 ;lsd ; 323 ; Colorado the Bighorn Sheep ; 4.3 Years ;;;
; N324FR ;Airbus A320-251N; Y186 ; 14 Dec 2017 ;lsd ; 324 ; Summer the Swan ; 4.2 Years ;;;
; N326FR ;Airbus A320-251N; Y186 ; 6 Mar 2018 ;lsd ; 326 ; Skye the Blue Jay ; 4 Years ;;;
; N328FR ;Airbus A320-251N; Y186 ; 13 Mar 2018 ;lsd ; 328 ; Scout the Pine Marten ; 4 Years ;;;
; N329FR ;Airbus A320-251N; Y186 ; 19 Apr 2018 ; Parked, lsd ; 329 ; Trixie the Fox ; 3.9 Years ;;;
; N330FR ;Airbus A320-251N; Y186 ; 23 Apr 2018 ;lsd ; 330 ; Junior the Lynx ; 3.9 Years ;;;
; N331FR ;Airbus A320-251N; Y186 ; 5 Jun 2018 ;lsd ; 331 ; Choo the Pika ; 3.8 Years ;;;
; N332FR ;Airbus A320-251N; Y186 ; 29 Aug 2018 ;lsd ; 332 ; Hazel the Chipmunk ; 3.6 Years ;;;
; N334FR ;Airbus A320-251N; Y186 ; 28 Jun 2018 ;lsd ; 334 ; Stretch the Great Blue Heron ; 3.7 Years ;;;
