;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-GAGA ;Boeing 747-233B(M);; 13 May 1983 ; 18 Nov 1983 ;C-GAGA Air Canada ;lsf Air Canada ;;
; LX-SAL ;Boeing 747-257B;; 2 Mar 1984 ; 26 Jul 1984 ;LX-SAL Salenia ;lsd ;;
; N1064T ;McDonnell Douglas DC-9-15;; Sep 1982 ; Jan 1983 ;N1064T Midway Airlines ;lsf Midway Airlines ;;
; N1305T ;McDonnell Douglas DC-9-15MC;; 31 Jul 1982 ; 21 Feb 1984 ;N1305T Purolator Courier ;;;
; N70AF ;McDonnell Douglas DC-9-15RC;; Sep 1982 ; 15 Feb 1984 ;N70AF Purolator Courier ;;;
; N75AF ;McDonnell Douglas DC-9-15RC;; 15 Apr 1983 ; 24 Mar 1984 ;N562PC Purolator Courier ;lsf Emerald Air ;;
