;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N217AG ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 16 Nov 2021 ; Parked, lsf United Airlines ;; 20.4 Years ;;;
; N218AG ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 30 Sep 2021 ; Parked, lsf United Airlines ;; 17 Years ;;;
; N501GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 24 Oct 2019 ;lsd, opf United Express ; 501 ; 21.5 Years ;;;
; N502GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 5 Dec 2019 ;lsd, opf United Express ; 502 ; 21.4 Years ;;;
; N503GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 9 Jan 2020 ; Parked, lsd, opf United Express ; 503 ; 20.9 Years ;;;
; N504GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 1 Jul 2019 ;lsd, opf United Express ; 504 ; 20.7 Years ;;;
; N504MJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 27 Oct 2021 ; Parked STL, lsf Mesa Airlines ;; 19.4 Years ;;;
; N506GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 24 Oct 2019 ;lsd, opf United Express ; 506 ; 19.9 Years ;;;
; N507GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 17 Nov 2021 ; Parked, lsf United Airlines ; 507 ; 20.9 Years ;;;
; N508GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 21 Jan 2020 ;lsd, opf United Express ; 508 ; 19.8 Years ;;;
; N509MJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 4 Dec 2021 ; Parked STL, lsf Mesa Airlines ;; 19 Years ;;;
; N511GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 14 Feb 2020 ;lsd, opf United Express ; 511 ; 18.3 Years ;;;
; N513MJ ;Bombardier CRJ-701ER (CL-600-2C10); C10Y40 ; 15 Jan 2022 ; Parked STL, lsf Mesa Airlines ;; 18.6 Years ;;;
; N519GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 17 Jan 2020 ;lsd, opf United Express ; 519 ; 20.6 Years ;;;
; N520GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 27 Feb 2020 ;lsd, opf United Express ; 520 ; 19.4 Years ;;;
; N521GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 3 Mar 2020 ;lsd, opf United Express ; 521 ; 12.7 Years ;;;
; N521LR ;Bombardier CRJ-701ER (CL-600-2C10); C10Y40 ; Due ; Stored, lsf Mesa Airlines ;; 15.2 Years ;;;
; N522GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 21 Jan 2020 ;lsd, opf United Express ; 522 ; 19.3 Years ;;;
; N522LR ;Bombardier CRJ-701ER (CL-600-2C10); C10Y40 ; Due ; Stored, lsf Mesa Airlines ;; 15 Years ;;;
; N523GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 18 Mar 2020 ;lsd, opf United Express ; 523 ; 18.3 Years ;;;
; N524GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 12 Mar 2020 ;lsd, opf United Express ; 524 ; 19 Years ;;;
; N526GJ ;Bombardier CRJ-550 (CL-600-2C11); C10Y40 ; 11 Nov 2020 ;lsd, opf United Express ; 526 ; 18.3 Years ;;;
