;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; HL8380 ;Boeing 737-8JP(WL); Y186 ; 27 Jan 2020 ;lsd ; 10.2 Years ;;
; HL8397 ;Boeing 737-8K5(WL); Y189 ; 4 Aug 2021 ;lsd ; 13 Years ;;
; HL ;Boeing 737-86N(WL); Y189 ; Due ; Stored, lsd ; 13.7 Years ;;
