;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N154EA ;Bombardier CRJ-200LR (CL-600-2B19);; 9 Dec 2020 ;;; 20.1 Years ;;
; N924CN ;Bombardier CRJ-200LR (CL-600-2B19);; 3 May 2021 ;;; 21 Years ;;
; N16501 ;Embraer ERJ-135ER; Y30 ; 28 Apr 2017 ;Pride of Contour ; 501 ; 22.8 Years ;;
; N16502 ;Embraer ERJ-135ER; Y30 ; 24 Aug 2017 ;; 502 ; 22.6 Years ;;
; N15509 ;Embraer ERJ-135ER; Y30 ; 28 Jan 2019 ;; 509 ; 22 Years ;;
; N16510 ;Embraer ERJ-135ER; Y30 ; 28 Jan 2019 ;; 510 ; 22 Years ;;
; N16511 ;Embraer ERJ-135ER; Y30 ; 27 Dec 2018 ;; 511 ; 21.8 Years ;;
; N27512 ;Embraer ERJ-135ER; Y30 ; 15 Jan 2019 ;; 512 ; 21.7 Years ;;
; N17513 ;Embraer ERJ-135LR; Y30 ; 24 Jan 2018 ;; 513 ; 21.7 Years ;;
; N16525 ;Embraer ERJ-135LR; Y30 ; 28 Jun 2018 ;; 525 ; 21 Years ;;
; N11526 ;Embraer ERJ-135LR; Y30 ; 19 Dec 2017 ;; 526 ; 21 Years ;;
; N15527 ;Embraer ERJ-135LR; Y30 ; 2 Nov 2017 ;; 527 ; 21 Years ;;
; N11565 ;Embraer ERJ-145LR;; 27 Mar 2020 ;;; 19.6 Years ;;
; N12552 ;Embraer ERJ-145LR;; 26 Mar 2020 ;;; 20 Years ;;
; N26549 ;Embraer ERJ-145LR;; 27 Mar 2020 ; Parked MQY ;; 20 Years ;;
