;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N401KZ ;Boeing 747-481F; Cargo ; 14 Sep 2016 ;; 401 ; 16.8 Years ;;
; N402KZ ;Boeing 747-481F; Cargo ; 6 Jun 2013 ;; 402 ; 16.5 Years ;;
; N403KZ ;Boeing 747-481F; Cargo ; 16 Sep 2014 ;Dale Henderson I ; 403 ; 15.4 Years ;;
; N700CK ;Boeing 747-4R7F; Cargo ; 10 Oct 2015 ;; 700 ; 24.5 Years ;;
; N701CK ;Boeing 747-4B5F; Cargo ; 15 May 2017 ;lsd ; 701 ; 21.8 Years ;;
; N702CK ;Boeing 747-4B5F; Cargo ; 2 Nov 2017 ;; 702 ; 21.7 Years ;;
; N703CK ;Boeing 747-412(BCF); Cargo ; 5 Feb 2018 ;opf Pacific Air Cargo ; 703 ; 31.5 Years ;;
; N705CK ;Boeing 747-4B5F; Cargo ; 28 Jul 2017 ;; 705 ; 20.4 Years ;;
; N706CK ;Boeing 747-4B5F; Cargo ; 25 Aug 2017 ;; 706 ; 20.3 Years ;;
; N707CK ;Boeing 747-4B5(BCF); Cargo ; 5 Sep 2018 ;; 707 ; 29.7 Years ;;
; N708CK ;Boeing 747-4B5(BCF); Cargo ; 5 Sep 2018 ;; 708 ; 30.5 Years ;;
; N709CK ;Boeing 747-4B5(BCF); Cargo ; 24 Apr 2019 ;; 709 ; 29.2 Years ;;
; N710CK ;Boeing 747-4B5F; Cargo ; 1 Mar 2018 ;; 710 ; 24.6 Years ;;
; N712CK ;Boeing 747-4B5F; Cargo ; 31 May 2018 ;; 712 ; 20.1 Years ;;
; N713CK ;Boeing 747-4B5F; Cargo ; 29 Mar 2018 ;; 713 ; 19.1 Years ;;
; N715CK ;Boeing 747-4B5F; Cargo ; 8 Aug 2018 ;; 715 ; 19.4 Years ;;
; N716CK ;Boeing 747-4B5F; Cargo ; 19 Sep 2018 ;; 716 ; 23.7 Years ;;
; N740CK ;Boeing 747-4H6(BCF); Cargo ; 17 Jun 2008 ;opf DHL ; 740 ; 32.5 Years ;;
; N741CK ;Boeing 747-4H6(BCF); Cargo ; 7 Aug 2008 ;Scott Kalitta ; 741 ; 32.4 Years ;;
; N742CK ;Boeing 747-446(BCF); Cargo ; 14 Jan 2010 ;; 742 ; 32.2 Years ;;
; N743CK ;Boeing 747-446(BCF); Cargo ; 22 Nov 2010 ;opf DHL ; 743 ; 29.1 Years ;;
; N744CK ;Boeing 747-446(BCF); Cargo ; 8 Dec 2010 ;Capt. PW Bishop I, Face Mask cs ; 744 ; 28.8 Years ;;
; N745CK ;Boeing 747-446(BCF); Cargo ; 15 Dec 2010 ;; 745 ; 23.3 Years ;;
; N782CK ;Boeing 747-4HQERF; Cargo ; 14 Jan 2012 ;; 782 ; 12.8 Years ;;
; N276DH ;Boeing 767-3Q8ER(BDSF); Cargo ; 19 Dec 2019 ;lsf DHL, opf DHL ; 276 ; 21.8 Years ;;
; N284DH ;Boeing 767-304ER(BDSF)(WL); Cargo ; 27 Jul 2017 ;lsf DHL, opf DHL ; 284 ; 25.8 Years ;;
; N739DH ;Boeing 767-324ER(BCF)(WL); Cargo ; 3 Dec 2018 ;lsf DHL, opf DHL ; 739 ; 27 Years ;;
; N760CK ;Boeing 767-341ER(BDSF); Cargo ; 29 Jul 2016 ;opf DHL ; 760 ; 32.1 Years ;;
; N761CK ;Boeing 767-341ER(BDSF); Cargo ; 13 Oct 2016 ;opf DHL ; 761 ; 32.2 Years ;;
; N762CK ;Boeing 767-3P6ER(BDSF); Cargo ; 10 Jan 2017 ;opf DHL ; 762 ; 29.8 Years ;;
; N763CK ;Boeing 767-3P6ER(BDSF); Cargo ; 10 Jan 2017 ;opf DHL ; 763 ; 28.7 Years ;;
; N764CK ;Boeing 767-3P6ER(BDSF); Cargo ; 10 Jan 2017 ;; 764 ; 27.9 Years ;;
; N765CK ;Boeing 767-3P6ER(BDSF); Cargo ; 18 May 2018 ;; 765 ; 29.7 Years ;;
; N778CK ;Boeing 777-36NER;; Due ; Stored, lsd ; 778 ; 17 Years ;;
; N779CK ;Boeing 777-36NER;; 14 May 2021 ; Parked, lsd ; 779 ; 16.3 Years ;;
; N780CK ;Boeing 777-36NER;; 14 May 2021 ; Parked, lsd ; 780 ; 16.2 Years ;;
; N772CK ;Boeing 777-F1H; Cargo ; 12 Jun 2019 ;lsd, opf DHL ; 772 ; 12.8 Years ;;
; N773CK ;Boeing 777-F; Cargo ; 6 Feb 2020 ;lsf DHL, opf DHL ; 773 ; 2.1 Years ;;
; N774CK ;Boeing 777-F; Cargo ; 3 Mar 2020 ;lsf DHL, opf DHL ; 774 ; 2.1 Years ;;
; N775CK ;Boeing 777-F; Cargo ; 30 Oct 2020 ;lsf DHL, opf DHL ; 775 ; 1.4 Years ;;
; N776CK ;Boeing 777-F; Cargo ; 21 Apr 2021 ;opf DHL ; 776 ; 0.9 Years ;;
