;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FHRC ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 27 May 2019 ;;; 31.9 Years ;;
; C-FUQY ;De Havilland Canada DHC-8-106 Dash 8; Y37 ; 11 Dec 2018 ;;; 28.1 Years ;;
; C-GPAL ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 2 Mar 2017 ;;; 32.8 Years ;;
; C-GRGI ;De Havilland Canada DHC-8-106 Dash 8; Y37 ; 2 Apr 2020 ;lsd ;; 30.4 Years ;;
; C-GWPS ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 18 Jul 2006 ;; 120 ; 33.4 Years ;;
; C-GZPA ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 23 Apr 2019 ;;; 33.5 Years ;;
; C-GCBK ;De Havilland Canada DHC-8-314 Dash 8; Y50 ; 28 Aug 2017 ;; 286 ; 30.6 Years ;;
; C-GJYZ ;De Havilland Canada DHC-8-314 Dash 8; Y45/Cargo ; 25 Oct 2012 ;; 368 ; 28.1 Years ;;
; C-GLKY ;De Havilland Canada DHC-8-314Q Dash 8; Y45/Cargo ; 16 Oct 2013 ;; 538 ; 22.4 Years ;;
; C-GNCF ;De Havilland Canada DHC-8-311 Dash 8;; 8 Feb 2022 ;; 244 ; 31.2 Years ;;
