;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N259DS ;Dornier Do-328JET-310;; 16 Mar 2015 ;;; 20.3 Years ;;
; N356SK ;Dornier Do-328JET-310;; 16 Apr 2015 ; Parked ;; 21.7 Years ;;
; N358SK ;Dornier Do-328JET-310;; 28 Apr 2015 ; Parked ;; 21 Years ;;
; N394DC ;Dornier Do-328JET-310; Y30 ; 24 Jun 2011 ;opf Denver Air Connection ;; 21.3 Years ;;
; N395DC ;Dornier Do-328JET-310; Y30 ; 31 May 2012 ;opf Denver Air Connection ;; 21.1 Years ;;
; N398DC ;Dornier Do-328JET-310; Y30 ; 30 Jul 2012 ;opf Denver Air Connection ;; 20.6 Years ;;
; N677DC ;Dornier Do-328JET-300;; Nov 2016 ;;; 22.5 Years ;;
; N366DC ; Embraer EMB-120ER Brasilia ; Y30 ; 30 Jun 2010 ;opf Denver Air Connection ;; 27.7 Years ;;
; N970DC ;Embraer ERJ-145LR; Y50 ; 3 Oct 2019 ;opf Denver Air Connection ; 970 ; 17.6 Years ;;
; N971DC ;Embraer ERJ-145LR; Y50 ; 18 Dec 2019 ;opf Denver Air Connection ; 971 ; 17.7 Years ;;
; N972DC ;Embraer ERJ-145LR; Y50 ; Mar 2021 ;opf Denver Air Connection ;; 17.8 Years ;;
