;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FTXQ ;Airbus A321-211(WL); Y220 ; 2 Dec 2019 ;lsd ;; 8.8 Years ;;
; C-GEZD ;Airbus A321-211; Y189 ; 10 Apr 2018 ;lsd ; 501 ; 12.3 Years ;;
; C-GEZJ ;Airbus A321-211; Y189 ; 23 Apr 2018 ;lsd, Air Transat Kids Club cs ; 502 ; 12.2 Years ;;
; C-GEZN ;Airbus A321-211; Y189 ; 22 Feb 2019 ;lsd ; 503 ; 12.3 Years ;;
; C-GEZO ;Airbus A321-211; Y189 ; 6 Feb 2019 ;lsd, Air Transat Kids Club cs ; 504 ; 11.2 Years ;;
; C-GEZX ;Airbus A321-211(WL); Y220 ; 15 Nov 2019 ;lsd ;; 5.6 Years ;;
; C-GTCY ;Airbus A321-211(WL); Y220 ; 9 Jan 2020 ;lsd ;; 8.3 Years ;;
; C-GOIE ;Airbus A321-271NX; C12Y187 ; 3 May 2019 ;lsd ; 701 ; 2.8 Years ;;
; C-GOIF ;Airbus A321-271NX; C12Y187 ; 27 Jun 2019 ;lsd ; 702 ; 2.7 Years ;;
; C-GOIH ;Airbus A321-271NX; C12Y187 ; 14 Feb 2020 ;lsd ; 703 ; 2.1 Years ;;
; C-GOIJ ;Airbus A321-271NX; C12Y187 ; 15 Jul 2020 ;lsd ; 704 ; 1.9 Years ;;
; C-GOIK ;Airbus A321-271NX; C12Y187 ; 30 Jun 2020 ;lsd ; 705 ; 1.7 Years ;;
; C-GOIM ;Airbus A321-271NX; C12Y187 ; 10 Nov 2020 ;lsd ; 707 ; 1.4 Years ;;
; C-GOIO ;Airbus A321-271NX; C12Y187 ; 16 Jul 2020 ;lsd ; 706 ; 1.7 Years ;;
; C-GOIS ;Airbus A321-271NX; C12Y187 ; 1 Jun 2021 ;lsd ; 709 ; 0.9 Years ;;
; C-GOIW ;Airbus A321-271NX; C12Y187 ; 9 Jun 2021 ;lsd ; 708 ; 1 Years ;;
; C-GOJC ;Airbus A321-271NX; C12Y187 ; 28 Jun 2021 ;lsd ; 710 ; 0.7 Years ;;
; C-GPTS ;Airbus A330-243; C12Y333 ; 20 Nov 2013 ; Parked, Barbara Stewart, lsd ; 103 ; 19.8 Years ;;
; C-GTSJ ;Airbus A330-243; C12Y333 ; 20 Nov 2011 ; Parked, lsd ; 203 ; 15.3 Years ;;
; C-GTSR ;Airbus A330-243; C12Y333 ; 2 Mar 2017 ;lsd ; 201 ; 13.3 Years ;;
; C-GTSZ ;Airbus A330-243; C12Y333 ; 14 Apr 2018 ; Parked, lsd ; 202 ; 13.3 Years ;;
; C-GUBC ;Airbus A330-243; C12Y320 ; 13 Jul 2017 ;lsd ; 108 ; 19 Years ;;
; C-GUBD ;Airbus A330-243; C12Y320 ; 12 May 2017 ; Parked, lsd ; 109 ; 18.8 Years ;;
; C-GUBF ;Airbus A330-243; C12Y320 ; 9 Jan 2018 ;; 110 ; 22.2 Years ;;
; C-GUBH ;Airbus A330-243; C12Y320 ; 18 Sep 2017 ; Parked, lsd ; 111 ; 19.1 Years ;;
; C-GUBL ;Airbus A330-243; C12Y320 ; 3 May 2019 ;; 204 ; 16.1 Years ;;
; C-GUBT ;Airbus A330-243; C12Y333 ; 17 May 2018 ;lsd ; 205 ; 16.1 Years ;;
; C-GUFR ;Airbus A330-243; C12Y320 ; 2 May 2019 ;lsd ; 107 ; 23.1 Years ;;
; C-GTSD ;Airbus A330-343; C12Y334 ; 2 May 2017 ; Parked, lsd ; 004 ; 20.8 Years ;;
; C-GTQB ;Boeing 737-8Q8(WL); Y189 ; 9 Apr 2014 ; Parked, lsd ; 401 ; 16 Years ;;
