;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; YL-AAO ;Airbus A220-300; Y145 ; 26 Mar 2019 ; Parked, lsd ; Jelgava ; 3 Years ;;
; YL-AAP ;Airbus A220-300; Y145 ; 29 Mar 2019 ;lsd ; Gulbene ; 2.9 Years ;;
; YL-AAQ ;Airbus A220-300; Y145 ; 26 Apr 2019 ;lsd ;; 2.9 Years ;;
; YL-AAR ;Airbus A220-300; Y145 ; 15 May 2019 ;lsd ;; 2.8 Years ;;
; YL-AAS ;Airbus A220-300; Y145 ; 24 May 2019 ;lsd ;; 2.8 Years ;;
; YL-AAT ;Airbus A220-300; Y145 ; 20 Sep 2019 ;lsd ;; 2.5 Years ;;
; YL-AAU ;Airbus A220-300; Y149 ; 5 Dec 2019 ;lsd, "100th Airbus A220" sticker ;; 2.3 Years ;;
; YL-AAV ;Airbus A220-300; Y149 ; 22 Dec 2019 ;lsd ;; 2.2 Years ;;
; YL-AAW ;Airbus A220-300; Y149 ; 19 Sep 2020 ;lsd ;; 1.8 Years ;;
; YL-AAX ;Airbus A220-300; Y149 ; 11 Dec 2020 ;lsd ;; 1.4 Years ;;
; YL-AAY ;Airbus A220-300; Y149 ; 11 Dec 2020 ;lsd ;; 1.4 Years ;;
; YL-AAZ ;Airbus A220-300; Y149 ; 30 Apr 2021 ;lsd ;; 0.9 Years ;;
; YL-ABA ;Airbus A220-300; Y149 ; 25 Jun 2021 ; Parked, lsd ;; 0.7 Years ;;
; YL-ABB ;Airbus A220-300; Y149 ; 13 Aug 2021 ;lsd ;; 0.6 Years ;;
; YL-ABC ;Airbus A220-300; Y149 ; 20 Aug 2021 ;lsd ;; 0.6 Years ;;
; YL-ABD ;Airbus A220-300; Y149 ; 29 Aug 2021 ;;; 0.5 Years ;;
; YL-ABE ;Airbus A220-300; Y149 ; 15 Sep 2021 ;;; 0.5 Years ;;
; YL-ABF ;Airbus A220-300; Y149 ; 30 Sep 2021 ;;; 0.5 Years ;;
; YL-ABG ;Airbus A220-300; Y149 ; 23 Feb 2022 ;;; 0.1 Years ;;
; YL-CSA ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 28 Nov 2016 ;; Liepāja ; 5.3 Years ;;
; YL-CSB ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 30 Dec 2016 ;; Cēsis ; 5.2 Years ;;
; YL-CSC ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 31 Mar 2017 ;; Alūksne ; 5 Years ;;
; YL-CSD ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 1 Jun 2017 ; Parked ; Valmiera ; 4.8 Years ;;
; YL-CSE ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 15 Jun 2017 ; Parked ; Kuldīga ; 4.7 Years ;;
; YL-CSF ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 20 Jul 2017 ;; Smiltene ; 4.7 Years ;;
; YL-CSG ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 10 Aug 2017 ; Parked ; Ogre ; 4.6 Years ;;
; YL-CSH ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 2 Feb 2018 ;; Līvāni ; 4.2 Years ;;
; YL-CSI ;Bombardier CSeries CS300 (BD-500-1A11); Y145 ; 15 Jun 2018 ;lsd ; Bauska ; 3.8 Years ;;
; YL-CSJ ;Airbus A220-300; Y145 ; 19 Jul 2018 ;lsd, Estonian Flag cs ; Tallinn ; 3.7 Years ;;
; YL-CSK ;Airbus A220-300; Y145 ; 24 Aug 2018 ;lsd, Lithuanian Flag cs ; Vilnius ; 3.6 Years ;;
; YL-CSL ;Airbus A220-300; Y145 ; 11 Oct 2018 ;lsd, Latvija cs ; Riga ; 3.4 Years ;;
; YL-CSM ;Airbus A220-300; Y145 ; 30 Nov 2018 ; Parked, lsd ; Jūrmala ; 3.3 Years ;;
; YL-CSN ;Airbus A220-300; Y145 ; 21 Sep 2018 ;lsd ; Sigulda ; 3.5 Years ;;
