;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; LV-WGM ;McDonnell Douglas MD-83 (DC-9-83);; Nov 2013 ; Parked EZE, Travel Rock cs ; 32.6 Years ;;
; LV-WGN ;McDonnell Douglas MD-83 (DC-9-83);; 24 Nov 2015 ; Parked AEP ; 31.5 Years ;;
