;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; PH-CDE ;Boeing 737-8KN(WL); Y189 ; 28 Apr 2011 ;lsd ; 12.8 Years ;;
; PH-CDF ;Boeing 737-804(WL); Y189 ; 2 May 2012 ;lsd ; 22.2 Years ;;
; PH-CDH ;Boeing 737-86J(WL); Y189 ; 19 Mar 2019 ;lsd ; 10.3 Years ;;
