;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; HL7724 ;Boeing 737-9B5; C8Y180 ; 17 May 2004 ;; 17.9 Years ;;;
; HL7725 ;Boeing 737-9B5; C8Y180 ; 9 Jun 2004 ;; 17.8 Years ;;;
; HL7726 ;Boeing 737-9B5; C8Y180 ; 22 Jun 2005 ;; 16.7 Years ;;;
; HL7727 ;Boeing 737-9B5; C8Y180 ; 31 Aug 2004 ;; 17.7 Years ;;;
; HL7728 ;Boeing 737-9B5; C8Y180 ; 22 Dec 2004 ;; 17.2 Years ;;;
; HL8221 ;Boeing 737-9B5ER(WL); C12Y147 ; 14 Jun 2011 ;; 10.8 Years ;;;
; HL8223 ;Boeing 737-9B5ER(WL); C12Y147 ; 28 Jun 2011 ;; 10.7 Years ;;;
; HL8248 ;Boeing 737-9B5ER(WL); C12Y147 ; 18 May 2012 ; Parked ; 9.8 Years ;;;
; HL8249 ;Boeing 737-9B5ER(WL); C12Y147 ; 25 Jun 2012 ;; 9.7 Years ;;;
; HL8272 ;Boeing 737-9B5ER(WL); C12Y147 ; 24 May 2013 ; Parked ; 8.8 Years ;;;
; HL8273 ;Boeing 737-9B5ER(WL); C12Y147 ; 7 Jun 2013 ;; 8.8 Years ;;;
; HL7601 ;Boeing 747-4B5ERF; Cargo ; 16 Aug 2004 ;; 17.6 Years ;;;
; HL7602 ;Boeing 747-4B5ERF; Cargo ; 31 Oct 2005 ;; 16.4 Years ;;;
; HL7603 ;Boeing 747-4B5ERF; Cargo ; 13 Jan 2006 ;; 16.1 Years ;;;
; HL7605 ;Boeing 747-4B5ERF; Cargo ; 29 Jun 2006 ;; 15.7 Years ;;;
; HL7609 ;Boeing 747-8HTF; Cargo ; 6 Feb 2012 ;; 10.1 Years ;;;
; HL7610 ;Boeing 747-8HTF; Cargo ; 4 Sep 2012 ;; 9.5 Years ;;;
; HL7617 ;Boeing 747-8B5F; Cargo ; 28 Mar 2013 ;; 9 Years ;;;
; HL7623 ;Boeing 747-8B5F; Cargo ; 14 Mar 2014 ; Parked ; 8 Years ;;;
; HL7624 ;Boeing 747-8B5F; Cargo ; 30 Dec 2013 ;; 8.2 Years ;;;
; HL7629 ;Boeing 747-8B5F; Cargo ; 30 Jun 2015 ;; 6.7 Years ;;;
; HL7630 ;Boeing 747-8B5; F6C48Y314 ; 25 Aug 2015 ; Parked ICN, 11th Korean Air Future Artist Olympiad cs ; 6.6 Years ;;;
; HL7631 ;Boeing 747-8B5; F6C48Y314 ; 30 Sep 2015 ; Parked ; 6.5 Years ;;;
; HL7632 ;Boeing 747-8B5; F6C48Y314 ; 27 Oct 2015 ; Parked ; 6.4 Years ;;;
; HL7633 ;Boeing 747-8B5; F6C48Y314 ; 17 Nov 2015 ; Parked ICN ; 6.4 Years ;;;
; HL7636 ;Boeing 747-8B5; F6C48Y314 ; 25 Jan 2016 ; Parked ICN, lsd ; 6.2 Years ;;;
; HL7637 ;Boeing 747-8B5; F6C48Y314 ; 27 Jun 2016 ; Parked ; 5.7 Years ;;;
; HL7638 ;Boeing 747-8B5; F6C48Y314 ; 26 May 2016 ;; 5.8 Years ;;;
; HL7639 ;Boeing 747-8B5F; Cargo ; 29 Dec 2016 ;; 5.6 Years ;;;
; HL7642 ;Boeing 747-8B5; F6C48Y314 ; 27 Apr 2017 ; Parked PUS, lsd ; 4.9 Years ;;;
; HL7644 ;Boeing 747-8B5; F6C48Y314 ; 31 Jul 2017 ; Parked ICN ; 4.7 Years ;;;
; HL7526 ;Boeing 777-2B5ER; F8C28Y212 ; 29 Dec 1998 ; Parked GMP ; 23.7 Years ;;;
; HL7574 ;Boeing 777-2B5ER; F8C28Y212 ; 18 Oct 2000 ; Parked ICN ; 21.4 Years ;;;
; HL7575 ;Boeing 777-2B5ER; F8C28Y212 ; 9 Nov 2000 ; Parked ICN ; 21.3 Years ;;;
; HL7598 ;Boeing 777-2B5ER; F8C28Y212 ; 28 Sep 2001 ; Parked ICN ; 20.6 Years ;;;
; HL7714 ;Boeing 777-2B5ER; F8C28Y212 ; 25 Jul 2002 ; Parked ICN ; 19.6 Years ;;;
; HL7715 ;Boeing 777-2B5ER; F8C28Y212 ; 24 Sep 2002 ; Parked ICN ; 19.5 Years ;;;
; HL7721 ;Boeing 777-2B5ER; F8C28Y212 ; 8 Sep 2003 ; Parked ICN ; 18.5 Years ;;;
; HL7751 ;Boeing 777-2B5ER; F8C28Y225 ; 27 Aug 2007 ; Parked GMP ; 14.6 Years ;;;
; HL7752 ;Boeing 777-2B5ER; F8C28Y225 ; 30 Nov 2007 ; Parked ICN ; 14.3 Years ;;;
; HL7764 ;Boeing 777-2B5ER; F8C28Y225 ; 20 Dec 2007 ; Parked ICN ; 14.2 Years ;;;
; HL7765 ;Boeing 777-2B5ER; F8C28Y225 ; 14 May 2008 ; Parked GMP ; 13.9 Years ;;;
; HL7766 ;Boeing 777-2B5ER; F8C28Y225 ; 30 Jun 2008 ; Parked ICN ; 13.7 Years ;;;
; HL7532 ;Boeing 777-3B5; F6C35Y297 ; 12 Aug 1999 ; Parked ICN ; 22.6 Years ;;;
; HL7533 ;Boeing 777-3B5; F6C35Y297 ; 12 Aug 1999 ; Parked ICN ; 22.6 Years ;;;
; HL7534 ;Boeing 777-3B5; F6C35Y297 ; 28 Dec 1999 ; Parked PUS ; 24.1 Years ;;;
; HL7573 ;Boeing 777-3B5; F6C35Y297 ; 27 Jun 2000 ; Parked ICN ; 21.7 Years ;;;
; HL7202 ;Boeing 777-3B5ER; F8C42Y227 ; 6 Feb 2018 ;; 4.1 Years ;;;
; HL7203 ;Boeing 777-3B5ER; F8C42Y227 ; 20 Mar 2018 ; Parked ; 4.1 Years ;;;
; HL7204 ;Boeing 777-3B5ER; F8C42Y227 ; 30 Mar 2018 ;; 4 Years ;;;
; HL7205 ;Boeing 777-3B5ER; F8C42Y227 ; 30 May 2018 ;; 3.8 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; HL7782 ;Boeing 777-3B5ER; F8C56Y227 ; 27 May 2009 ;; 12.8 Years ;;;
; HL7783 ;Boeing 777-3B5ER; F8C56Y227 ; 31 Aug 2009 ;SkyTeam cs ; 12.6 Years ;;;
; HL8006 ;Boeing 777-3B5ER; F8C42Y227 ; 23 Jul 2015 ;; 6.7 Years ;;;
; HL8007 ;Boeing 777-3B5ER; F8C42Y227 ; 11 Aug 2015 ;; 6.6 Years ;;;
; HL8008 ;Boeing 777-3B5ER; F8C42Y227 ; 30 Sep 2015 ;; 6.4 Years ;;;
; HL8009 ;Boeing 777-3B5ER; F8C42Y227 ; 23 Dec 2015 ;; 6.2 Years ;;;
; HL8010 ;Boeing 777-3B5ER; F8C42Y227 ; 29 Apr 2015 ;lsd ; 6.9 Years ;;;
; HL8011 ;Boeing 777-3B5ER; F8C42Y227 ; 29 May 2015 ;lsd ; 6.8 Years ;;;
