;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; PT-TVB ;De Havilland Canada DHC-8-202Q Dash 8;; 7 Apr 1997 ; 14 Dec 1999 ;N438SD FSBU First Security Bank of Utah ;;;
; PT-TVC ;De Havilland Canada DHC-8-202Q Dash 8;; 7 Apr 1997 ; 14 Dec 1999 ;N453DS FSBU First Security Bank of Utah ;;;
