;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; F-GSTA ;Airbus A300B4-608ST; Special Cargo ; 25 Oct 1995 ; Parked BOD ; 1 ; 27.5 Years ;;
; F-GSTB ;Airbus A300B4-608ST; Special Cargo ; 22 Apr 1996 ;; 2 ; 25.9 Years ;;
; F-GSTC ;Airbus A300B4-608ST; Special Cargo ; 7 May 1997 ;; 3 ; 24.9 Years ;;
; F-GSTD ;Airbus A300B4-608ST; Special Cargo ; 18 Dec 1998 ;; 4 ; 23.7 Years ;;
; F-GSTF ;Airbus A300B4-608ST; Special Cargo ; 5 Jan 2001 ;; 5 ; 21.2 Years ;;
; F-GXLG ;Airbus A330-743L Beluga XL; Special Cargo ; On Order ;; XL1 ; 4.1 Years ;;
; F-GXLH ;Airbus A330-743L Beluga XL; Special Cargo ; 6 Dec 2019 ;; XL2 ; 2.9 Years ;;
; F-GXLI ;Airbus A330-743L Beluga XL; Special Cargo ; 26 Oct 2020 ;; XL3 ; 1.7 Years ;;
; F-GXLJ ;Airbus A330-743L Beluga XL; Special Cargo ; 4 Oct 2021 ;; XL4 ; 0.6 Years ;;
