;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N11184 ;Embraer ERJ-145XR; Y50 ; 15 Oct 2020 ;opf United Express ;; 16.8 Years ;;
; N11189 ;Embraer ERJ-145XR; Y50 ; 15 Oct 2020 ;opf United Express ;; 16.6 Years ;;
; N12135 ;Embraer ERJ-145XR; Y50 ; 23 Jun 2021 ;opf United Express ;; 18.9 Years ;;
; N12201 ;Embraer ERJ-145XR; Y50 ; 25 Mar 2021 ; Parked, opf United Express ;; 16 Years ;;
; N14180 ;Embraer ERJ-145XR; Y50 ; 14 Apr 2021 ;opf United Express ;; 17 Years ;;
; N14188 ;Embraer ERJ-145XR; Y50 ; 19 Mar 2021 ;opf United Express ;; 16.6 Years ;;
; N14203 ;Embraer ERJ-145XR; Y50 ; 18 Mar 2021 ;opf United Express ;; 15.8 Years ;;
; N17185 ;Embraer ERJ-145XR; Y50 ; 8 May 2021 ;opf United Express ;; 16.8 Years ;;
; N24103 ;Embraer ERJ-145XR; Y50 ; 24 Jul 2021 ;opf United Express ;; 19.5 Years ;;
; N27200 ;Embraer ERJ-145XR; Y50 ; 24 Mar 2021 ;opf United Express ;; 16 Years ;;
; N11107 ;Embraer ERJ-145XR; Y50 ; 6 Jan 2021 ; Parked, opf United Express ; 107 ; 19.4 Years ;;
; N13124 ;Embraer ERJ-145XR; Y50 ; 1 Dec 2020 ;opf United Express ; 124 ; 19.1 Years ;;
; N14125 ;Embraer ERJ-145XR; Y50 ; 27 Dec 2020 ;opf United Express ; 125 ; 19.1 Years ;;
; N24128 ;Embraer ERJ-145XR; Y50 ; 24 Aug 2021 ;opf United Express ; 128 ; 19 Years ;;
; N21129 ;Embraer ERJ-145XR; Y50 ; 6 Mar 2021 ;opf United Express ; 129 ; 19 Years ;;
; N31131 ;Embraer ERJ-145XR; Y50 ; 20 Jan 2021 ;opf United Express ; 131 ; 19 Years ;;
; N13132 ;Embraer ERJ-145XR; Y50 ; 24 Oct 2020 ; Parked, opf United Express ; 132 ; 19 Years ;;
; N12136 ;Embraer ERJ-145XR; Y50 ; 16 Oct 2020 ;opf United Express ; 136 ; 18.9 Years ;;
; N11137 ;Embraer ERJ-145XR; Y50 ; 24 Nov 2020 ; Parked, opf United Express ; 137 ; 18.8 Years ;;
; N17138 ;Embraer ERJ-145XR; Y50 ; 17 Dec 2020 ; Parked, opf United Express ; 138 ; 18.8 Years ;;
; N23139 ;Embraer ERJ-145XR; Y50 ; 29 May 2019 ;lsf United Airlines, opf United Express ; 139 ; 18.8 Years ;;
; N12142 ;Embraer ERJ-145XR; Y50 ; 8 Jan 2021 ;opf United Express ; 142 ; 18.7 Years ;;
; N14143 ;Embraer ERJ-145XR; Y50 ; 22 Jun 2017 ;lsf United Airlines, opf United Express ; 143 ; 18.7 Years ;;
; N21144 ;Embraer ERJ-145XR; Y50 ; 9 Dec 2020 ;opf United Express ; 144 ; 18.6 Years ;;
; N12145 ;Embraer ERJ-145XR; Y50 ; 9 Apr 2021 ; Parked, opf United Express ; 145 ; 18.5 Years ;;
; N17146 ;Embraer ERJ-145XR; Y50 ; 19 Aug 2020 ;opf United Express ; 146 ; 18.5 Years ;;
; N16147 ;Embraer ERJ-145XR; Y50 ; 30 Nov 2015 ;lsf United Airlines, opf United Express ; 147 ; 18.5 Years ;;
; N14148 ;Embraer ERJ-145XR; Y50 ; 22 Jul 2019 ;lsf United Airlines, opf United Express ; 148 ; 18.5 Years ;;
; N16149 ;Embraer ERJ-145XR; Y50 ; 27 Jun 2019 ; Parked, lsf United Airlines, opf United Express ; 149 ; 18.5 Years ;;
; N11150 ;Embraer ERJ-145XR; Y50 ; 13 Nov 2020 ;opf United Express ; 150 ; 18.4 Years ;;
