;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N121CZ ; Embraer EMB-120ER Brasilia ;; 22 Nov 2016 ;;; 22.7 Years ;;
; N122HL ; Embraer EMB-120ER Brasilia ;; 30 Mar 2015 ;lsf Hammer Aircraft Leasing ;; 28.7 Years ;;
; N124HL ; Embraer EMB-120FC Brasilia ; Cargo ; 8 Jun 2015 ;lsf Hammer Aircraft Leasing ;; 27.7 Years ;;
; N125CZ ; Embraer EMB-120FC Brasilia ; Cargo ; 19 Mar 2020 ;; 125 ; 27.7 Years ;;
; N126CZ ; Embraer EMB-120ER Brasilia ;; 18 Jul 2019 ;;; 25.7 Years ;;
; N127CZ ; Embraer EMB-120ER Brasilia ;; 8 May 2020 ;; 127 ; 22.7 Years ;;
; N128HL ; Embraer EMB-120ER Brasilia ;; 26 Dec 2017 ;lsf Hammer Aircraft Leasing ;; 22.7 Years ;;
; N129CZ ; Embraer EMB-120ER Brasilia ;; 11 Sep 2019 ;;; 28.7 Years ;;
; N506FR ;Saab 2000; C30 ; 17 Dec 2021 ;lsd ;; 28.7 Years ;;
; N508FR ;Saab 2000; C30 ; 13 Oct 2021 ;lsd ;; 28.4 Years ;;
; N532FR ;Saab 2000; C30 ; Due ; Stored, lsd ;; 26.1 Years ;;
; N542FR ;Saab 2000; C30 ; Due ; Stored, lsd ;; 25.3 Years ;;
; N680PA ;Saab 2000; C30 ; 17 Nov 2021 ;;; 26.7 Years ;;
