;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N7201S ;Boeing 737-7 MAX;; Due ;; 7201 ; 4 Years ;;;
; N7202U ;Boeing 737-7 MAX;; Due ;; 7202 ; 3.9 Years ;;;
; N7203U ;Boeing 737-7 MAX;; On Order ;; 7203 ; 2.2 Years ;;;
; N7204U ;Boeing 737-7 MAX;; On Order ;; 7204 ;;;;
; N7205U ;Boeing 737-7 MAX;; On Order ;; 7205 ;;;;
; N7206U ;Boeing 737-7 MAX;; On Order ;; 7206 ; 2.4 Years ;;;
; N7207Z ;Boeing 737-7 MAX;; On Order ;; 7207 ; 2.4 Years ;;;
; N ;Boeing 737-7 MAX;; On Order ;;;;;;
; N ;Boeing 737-7 MAX;; On Order ;;;;;;
; N1807U ;Boeing 737-8 MAX; Y175 ; On Order ;;; 2.3 Years ;;;
; N8701Q ;Boeing 737-8 MAX; Y175 ; 20 Jun 2018 ;; 8701 ; 6.2 Years ;;;
; N8702L ;Boeing 737-8 MAX; Y175 ; 30 Sep 2018 ;; 8702 ; 6 Years ;;;
; N8704Q ;Boeing 737-8 MAX; Y175 ; 27 Dec 2017 ;; 8704 ; 5.8 Years ;;;
; N8705Q ;Boeing 737-8 MAX; Y175 ; 7 Sep 2017 ;; 8705 ; 5 Years ;;;
; N8706W ;Boeing 737-8 MAX; Y175 ; 15 Sep 2017 ;; 8706 ; 4.9 Years ;;;
; N8707P ;Boeing 737-8 MAX; Y175 ; 25 Sep 2017 ;; 8707 ; 4.5 Years ;;;
; N8708Q ;Boeing 737-8 MAX; Y175 ; 8 Sep 2017 ;; 8708 ; 4.5 Years ;;;
; N8709Q ;Boeing 737-8 MAX; Y175 ; 27 Sep 2017 ;; 8709 ; 4.5 Years ;;;
; N8710M ;Boeing 737-8 MAX; Y175 ; 26 Aug 2017 ;; 8710 ; 4.6 Years ;;;
; N8711Q ;Boeing 737-8 MAX; Y175 ; 13 Sep 2017 ;; 8711 ; 4.5 Years ;;;
; N8712L ;Boeing 737-8 MAX; Y175 ; 26 Sep 2017 ;; 8712 ; 4.4 Years ;;;
; N8713M ;Boeing 737-8 MAX; Y175 ; 30 Sep 2017 ;; 8713 ; 4.4 Years ;;;
; N8714Q ;Boeing 737-8 MAX; Y175 ; 30 Sep 2017 ;; 8714 ; 4.4 Years ;;;
; N8715Q ;Boeing 737-8 MAX; Y175 ; 7 Nov 2017 ;; 8715 ; 4.3 Years ;;;
