;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; C-FJLT ;Boeing 737-2A9C; Cargo ; 19 Oct 1993 ; 17 May 1996 ;C-FJLT Canair ;lsf Integrated Resources Leasing ;;
; C-GJLN ;Boeing 737-210C;; 20 Nov 1994 ; Jun 1997 ;C-GJLN Noranda Mines ;;;
