;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; VH-VNB ;Airbus A320-232; Y162 ; 23 Mar 2019 ;lsd ; Twilight Beach ; 15.4 Years ;;
; VH-VNF ;Airbus A320-232; Y162 ; 22 Nov 2019 ;lsd ; Ningaloo Coast ; 14.3 Years ;;
; VH-VNJ ;Airbus A320-232; Y162 ; 17 Apr 2018 ;lsd ; Cossies Beach ; 15.3 Years ;;
; VH-VNP ;Airbus A320-232; Y162 ; 26 Nov 2018 ;lsd ; Little Parakeet Bay ; 15.3 Years ;;
; VH-YUD ;Airbus A320-232; Y162 ; 18 Apr 2013 ;lsd ; Port Beach ; 19.2 Years ;;
; VH-FNC ;Fokker F100; Y100 ; 7 May 2013 ;;; 30.9 Years ;;
; VH-FNJ ;Fokker F100; Y100 ; 7 May 2013 ;lsd ; Talbot Bay ; 27.9 Years ;;
; VH-FNR ;Fokker F100; Y100 ; 7 May 2013 ; Parked ; Lake Argyle ; 27.7 Years ;;
; VH-FNT ;Fokker F100; Y100 ; 7 May 2013 ;;; 26.6 Years ;;
; VH-FNU ;Fokker F100; Y100 ; 7 May 2013 ;; Roebuck Bay ; 30.2 Years ;;
; VH-FNY ;Fokker F100; Y100 ; 7 May 2013 ;; Geograph Bay ; 27.3 Years ;;
; VH-FSQ ;Fokker F100; Y100 ; 7 May 2013 ;; Bills Bay ; 28.9 Years ;;
; VH-FSW ;Fokker F100; Y100 ; 7 May 2013 ;; Bremer Bay ; 29.9 Years ;;
; VH-FWH ;Fokker F100; Y100 ; 20 Jul 2015 ;; Swan River ; 31.3 Years ;;
; VH-FWI ;Fokker F100; Y100 ; 20 Jul 2015 ;;; 31.2 Years ;;
; VH-FZI ;Fokker F100; Y100 ; 22 Aug 2014 ; Parked ;; 31 Years ;;
