;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; LX-ECV ;Boeing 747-4HQERF; Cargo ; 30 Oct 2013 ;; City of Grevenmacher ; 12.9 Years ;;
; LX-GCL ;Boeing 747-467F; Cargo ; 22 Aug 2016 ;lsd ; City of Sandweiler ; 17.1 Years ;;
; LX-ICL ;Boeing 747-467F; Cargo ; 13 Sep 2017 ;lsd ; City of Mersch ; 20.6 Years ;;
; LX-JCV ;Boeing 747-4EVERF; Cargo ; 27 May 2015 ;lsd ;; 15.3 Years ;;
; LX-KCL ;Boeing 747-4HAERF; Cargo ; 28 May 2019 ;lsd ; City of Junglinster ; 14.1 Years ;;
; LX-LCL ;Boeing 747-4HAERF; Cargo ; 29 Apr 2019 ;; City of Clervaux ; 14.8 Years ;;
; LX-MCL ;Boeing 747-4HAERF; Cargo ; 13 May 2019 ;; City of Bourscheid ; 15.2 Years ;;
; LX-NCL ;Boeing 747-4EVERF; Cargo ; 19 Feb 2020 ;1970 Retro (50 Year Anniversary) cs ; City of Ettelbruck ; 15.6 Years ;;
; LX-OCV ;Boeing 747-4R7F; Cargo ; Jun 2018 ;lsd ; City of Niederanven ; 22.7 Years ;;
; LX-RCV ;Boeing 747-4R7F; Cargo ; 19 Dec 2019 ;; City of Walferdange ; 22.3 Years ;;
; LX-SCV ;Boeing 747-4R7F; Cargo ; 30 Jun 2021 ;; City of Bertrange ; 20.6 Years ;;
; LX-TCV ;Boeing 747-4R7F; Cargo ; 22 Aug 2002 ;opf Cargolux Italia ; City of Sandweiler ; 19.6 Years ;;
; LX-UCV ;Boeing 747-4R7F; Cargo ; 22 Apr 2004 ;opf Cargolux Italia ; City of Bertrange ; 17.9 Years ;;
; LX-VCV ;Boeing 747-4R7F; Cargo ; 23 Nov 2005 ;opf Cargolux Italia ; City of Walferdange ; 16.3 Years ;;
; LX-WCV ;Boeing 747-4R7F; Cargo ; 6 Aug 2007 ;lsd ; City of Pétange ; 14.6 Years ;;
; LX-YCV ;Boeing 747-4R7F; Cargo ; 21 Jul 2008 ;opf Cargolux Italia ; City of Contern ; 13.6 Years ;;
; LX-VCA ;Boeing 747-8R7F; Cargo ; 8 Mar 2013 ;; City of Vianden ; 12.3 Years ;;
; LX-VCB ;Boeing 747-8R7F; Cargo ; 12 Oct 2011 ;; City of Esch-sur-Alzette ; 10.5 Years ;;
; LX-VCC ;Boeing 747-8R7F; Cargo ; 23 Mar 2012 ;lsd, 50 Years cs ; Spirit of Cargolux ; 11.6 Years ;;
; LX-VCD ;Boeing 747-8R7F; Cargo ; 13 Oct 2011 ;; City of Luxembourg ; 10.5 Years ;;
; LX-VCE ;Boeing 747-8R7F; Cargo ; 24 May 2012 ;; City of Echternach ; 9.8 Years ;;
; LX-VCF ;Boeing 747-8R7F; Cargo ; 12 Sep 2012 ;Not Without My Mask cs ; City of Grevenmacher ; 9.5 Years ;;
; LX-VCG ;Boeing 747-8R7F; Cargo ; 19 Nov 2012 ;; City of Diekirch ; 9.4 Years ;;
; LX-VCH ;Boeing 747-8R7F; Cargo ; 15 May 2013 ;; City of Dudelange ; 8.9 Years ;;
; LX-VCI ;Boeing 747-8R7F; Cargo ; 26 Sep 2013 ;; City of Troisvierges ; 8.8 Years ;;
; LX-VCJ ;Boeing 747-8R7F; Cargo ; 30 Sep 2014 ;; City of Zhengzhou ; 8 Years ;;
; LX-VCK ;Boeing 747-8R7F; Cargo ; 24 Jul 2014 ;; City of Contern ; 7.8 Years ;;
; LX-VCL ;Boeing 747-8R7F; Cargo ; 5 Mar 2015 ;lsd ; Joe Sutter - Father of the Boeing 747 ; 7.1 Years ;;
; LX-VCM ;Boeing 747-8R7F; Cargo ; 28 Sep 2015 ;Cutaway cs ; City of Redange-sur-Attert ; 6.6 Years ;;
; LX-VCN ;Boeing 747-8R7F; Cargo ; 29 Sep 2016 ;; Spirit of Schengen ; 5.5 Years ;;
