;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; OH-LWO ;Airbus A350-941; C32W42Y262 ; 26 Apr 2019 ;; 2.9 Years ;;;
; OH-LWP ;Airbus A350-941; C32W42Y262 ; 10 Feb 2020 ;; 2.2 Years ;;;
; OH-LWR ;Airbus A350-941; C32W42Y262 ; 1 Sep 2020 ;; 1.8 Years ;;;
; OH-LWS ;Airbus A350-941;; 28 Dec 2021 ;; 0.4 Years ;;;
; OH-ATE ;ATR 72-500 (72-212A); Y68 ; 7 Aug 2019 ;opby NORRA - Nordic Regional Airlines ; 15.1 Years ;;;
; OH-ATF ;ATR 72-500 (72-212A); Y68 ; 28 Aug 2019 ;opby NORRA - Nordic Regional Airlines ; 15 Years ;;;
; OH-ATG ;ATR 72-500 (72-212A); Y68 ; 4 Sep 2019 ;opby NORRA - Nordic Regional Airlines ; 14.6 Years ;;;
; OH-ATH ;ATR 72-500 (72-212A); Y68 ; 23 Aug 2019 ;opby NORRA - Nordic Regional Airlines ; 14.3 Years ;;;
; OH-ATI ;ATR 72-500 (72-212A); Y68 ; 9 May 2019 ;opby NORRA - Nordic Regional Airlines ; 14 Years ;;;
; OH-ATJ ;ATR 72-500 (72-212A); Y68 ; 17 Oct 2019 ;opby NORRA - Nordic Regional Airlines ; 13.7 Years ;;;
; OH-ATK ;ATR 72-500 (72-212A); Y72 ; 11 Jul 2019 ;opby NORRA - Nordic Regional Airlines ; 13.1 Years ;;;
; OH-ATL ;ATR 72-500 (72-212A); Y68 ; 7 Oct 2019 ;opby NORRA - Nordic Regional Airlines ; 13.1 Years ;;;
; OH-ATM ;ATR 72-500 (72-212A); Y72 ; 19 Jun 2020 ;opby NORRA - Nordic Regional Airlines ; 11 Years ;;;
; OH-ATN ;ATR 72-500 (72-212A); Y72 ; 12 Nov 2019 ;opby NORRA - Nordic Regional Airlines ; 10.5 Years ;;;
