;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 5Y-SLD ;De Havilland Canada DHC-8-106 Dash 8; Y35 ; 2008 ;; 29.8 Years ;;
; 5Y-VVP ;De Havilland Canada DHC-8-106 Dash 8; Y37 ; 2016 ;; 29.4 Years ;;
; 5Y-SLM ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 20 Mar 2019 ; Parked, lsd ; 24.2 Years ;;
; 5Y-SLO ;De Havilland Canada DHC-8-202Q Dash 8; Y37 ; 11 Feb 2020 ;lsd ; 24 Years ;;
; 5Y-SLK ;De Havilland Canada DHC-8-315Q Dash 8; Y52 ; 23 Dec 2016 ;; 21 Years ;;
