;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 4K-AZ100 ; Ilyushin Il-76TD-90VD ; Cargo ; May 2007 ;; 15.7 Years ;;
; 4K-AZ101 ; Ilyushin Il-76TD-90VD ; Cargo ; 10 Jul 2008 ;; 13.8 Years ;;
; 4K-AZ40 ; Ilyushin Il-76TD ; Cargo ; Feb 2004 ;; 27.3 Years ;;
; 4K-AZ41 ; Ilyushin Il-76TD ; Cargo ; 2004 ;; 22.7 Years ;;
