;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; EX-32003 ;Airbus A320-232;; 15 Oct 2021 ;lsd ; 19.9 Years ;;
; EX-32009 ;Airbus A320-233;; 8 Feb 2022 ; Parked ; 23.3 Years ;;
; EX- ;Airbus A320-233;; Due ; Stored ; 23.4 Years ;;
