;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; VT-FBA ;ATR 72-500 (72-212A); Y68 ; 26 Oct 2020 ;lsd ; 10.6 Years ;;
; VT-TMC ;ATR 72-600 (72-212A);; 17 Feb 2022 ;lsd ; 5.4 Years ;;
; VT-TMT ;ATR 72-600 (72-212A);; Due ; Stored, lsd ; 5.2 Years ;;
