;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; SX-DGF ;Airbus A319-132; Y144 ; 27 Apr 2011 ;lsd ;; 16.8 Years ;;
; SX-DGB ;Airbus A320-232; Y174 ; 19 Jan 2010 ; Parked, lsd ;; 12.2 Years ;;
; SX-DGC ;Airbus A320-232; Y174 ; 6 May 2011 ;lsd ;; 12.3 Years ;;
; SX-DGD ;Airbus A320-232; Y174 ; 6 May 2011 ; Parked, lsd ;; 12.4 Years ;;
; SX-DGE ;Airbus A320-232; Y174 ; 6 May 2011 ;lsd ;; 12.5 Years ;;
; SX-DGJ ;Airbus A320-232; Y174 ; Apr 2013 ;lsd ;; 14.3 Years ;;
; SX-DGN ;Airbus A320-232; Y174 ; 28 Nov 2013 ; Parked, lsd ;; 15.7 Years ;;
; SX-DGO ;Airbus A320-232; Y174 ; 27 Jun 2014 ; Parked, lsd ;; 13.7 Years ;;
; SX-DGY ;Airbus A320-232(WL); Y174 ; 16 Jun 2015 ;lsd ;; 6.8 Years ;;
; SX-DGZ ;Airbus A320-232(WL); Y174 ; 26 Jun 2015 ;lsd ;; 6.7 Years ;;
; SX-DNA ;Airbus A320-232(WL); Y174 ; 30 Jun 2015 ;lsd ;; 6.7 Years ;;
; SX-DNB ;Airbus A320-232(WL); Y174 ; 27 Nov 2015 ;lsd ;; 6.3 Years ;;
; SX-DNC ;Airbus A320-232(WL); Y174 ; 12 Feb 2016 ;lsd ;; 6.1 Years ;;
; SX-DND ;Airbus A320-232(WL); Y174 ; 7 Mar 2016 ; Parked, lsd ;; 6 Years ;;
; SX-DNE ;Airbus A320-232(WL); Y174 ; 17 Mar 2016 ;lsd ;; 6 Years ;;
; SX-DVG ;Airbus A320-232; Y174 ; 21 Feb 2007 ;lsd ; Ethos ; 15.1 Years ;;
; SX-DVH ;Airbus A320-232; Y174 ; 19 Mar 2007 ;lsd ; Nostos ; 15 Years ;;
; SX-DVI ;Airbus A320-232; Y174 ; 20 Mar 2007 ; Parked, lsd ; Kinesis ; 15 Years ;;
; SX-DVJ ;Airbus A320-232; Y174 ; 15 Jan 2008 ;lsd ; Exelixis ; 14.2 Years ;;
; SX-DVK ;Airbus A320-232; Y174 ; 12 Feb 2008 ; Parked, lsd ;; 14.1 Years ;;
; SX-DVL ;Airbus A320-232; Y174 ; 13 Mar 2008 ;lsd ;; 14 Years ;;
; SX-DVM ;Airbus A320-232; Y174 ; 19 Mar 2008 ; Parked, lsd ;; 14 Years ;;
; SX-DVN ;Airbus A320-232; Y174 ; 22 Apr 2008 ;;; 13.9 Years ;;
; SX-DVQ ;Airbus A320-232; Y174 ; 24 Jun 2008 ;Star Alliance cs ;; 13.7 Years ;;
; SX-DVR ;Airbus A320-232; Y174 ; 21 Nov 2008 ;lsd ;; 13.3 Years ;;
; SX-DVS ;Airbus A320-232; Y174 ; 4 Dec 2008 ;lsd ;; 13.3 Years ;;
; SX-DVT ;Airbus A320-232; Y174 ; 16 Jan 2009 ;;; 13.2 Years ;;
; SX-DVV ;Airbus A320-232; Y174 ; 4 Feb 2009 ;lsd, Acropolis Museum cs ; Cleisthenes ; 13.1 Years ;;
; SX-DVW ;Airbus A320-232; Y174 ; 11 Feb 2009 ;lsd ; Nikos Kazantzakis ; 13.1 Years ;;
; SX-DVX ;Airbus A320-232; Y174 ; 18 Mar 2009 ;lsd ;; 13 Years ;;
; SX-DVY ;Airbus A320-232; Y174 ; 14 Apr 2009 ;lsd ;; 12.9 Years ;;
; SX-NEA ;Airbus A320-271N; CY180 ; 27 Jan 2020 ;lsd ;; 2.1 Years ;;
; SX-NEB ;Airbus A320-271N; CY180 ; 31 Jan 2020 ;lsd ;; 2.1 Years ;;
; SX-NEC ;Airbus A320-271N; CY180 ; 11 Mar 2020 ;lsd ;; 2 Years ;;
; SX-NED ;Airbus A320-271N; CY180 ; 18 Jun 2020 ;lsd ;; 1.9 Years ;;
; SX-NEO ;Airbus A320-271N; CY180 ; 19 Dec 2019 ;lsd ;; 2.2 Years ;;
; SX-DGA ;Airbus A321-231; Y206 ; 24 Apr 2009 ;lsd ;; 12.9 Years ;;
; SX-DGP ;Airbus A321-231; Y206 ; 13 Mar 2014 ; Parked, lsd ;; 14.3 Years ;;
; SX-DGQ ;Airbus A321-231; Y206 ; 11 Apr 2014 ; Parked, lsd ;; 14.3 Years ;;
; SX-DGT ;Airbus A321-231; Y206 ; 26 Mar 2015 ; Parked, lsd ;; 21.1 Years ;;
; SX-DNF ;Airbus A321-231; Y207 ; 7 Mar 2018 ;lsd ;; 16.5 Years ;;
; SX-DNG ;Airbus A321-231; Y207 ; 14 Jun 2018 ; Parked, lsd ;; 16.3 Years ;;
; SX-DNH ;Airbus A321-231; Y209 ; 25 May 2018 ;lsd ;; 13.7 Years ;;
; SX-DVO ;Airbus A321-231; Y206 ; 17 Apr 2008 ; Parked, lsd ; Philoxenia ; 13.9 Years ;;
; SX-DVP ;Airbus A321-231; Y206 ; 23 May 2008 ; Parked, lsd ;; 13.8 Years ;;
; SX-DVZ ;Airbus A321-231; Y206 ; 3 Mar 2009 ; Parked, lsd ;; 13 Years ;;
; SX-NAA ;Airbus A321-271NX; CY220 ; 30 Sep 2020 ;;; 1.4 Years ;;
; SX-NAB ;Airbus A321-271NX; CY220 ; 20 Nov 2020 ;lsd ;; 1.3 Years ;;
; SX-NAC ;Airbus A321-271NX; CY220 ; 16 Dec 2020 ;;; 1.2 Years ;;
; SX-NAD ;Airbus A321-271NX; CY220 ; 28 Jul 2021 ;lsd ;; 0.6 Years ;;
; SX-NAE ;Airbus A321-271NX; CY220 ; On Order ;;;;;
