;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-GAIG ;Boeing 737-2S2C(A); Y112/Cargo ; 14 Jun 2007 ;; 728 ; 42.4 Years ;;
; C-GMAI ;Boeing 737-2Q2C(A); Y112/Cargo ; 19 Nov 2010 ;; 767 ; 43.9 Years ;;
; C-GOPW ;Boeing 737-275C(A); Y112/Combi ; 5 Aug 2021 ;;; 41.6 Years ;;
; C-GSPW ;Boeing 737-275C(A);; 3 Jan 2018 ;; 718 ; 40.3 Years ;;
; C-GFFN ;Boeing 737-33A(QC);; 29 Oct 2018 ;; 702 ; 30.3 Years ;;
; C-FCJE ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 28 Jan 2022 ;;; 32.6 Years ;;
; C-FDAO ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 31 Mar 1995 ;; 123 ; 33.3 Years ;;
; C-FDLG ;De Havilland Canada DHC-8-102 Dash 8; Y37 ; 2 Apr 2019 ;; 155 ; 32.8 Years ;;
; C-FAID ;De Havilland Canada DHC-8-314B Dash 8; Y45 ; 4 Dec 2008 ;; 300 ; 26.9 Years ;;
; C-FEAI ;De Havilland Canada DHC-8-314 Dash 8; Y45 ; 1 Mar 2012 ;; 334 ; 29.7 Years ;;
; C-FIAI ;De Havilland Canada DHC-8-314Q Dash 8; Y45 ; 16 Mar 2011 ;; 385 ; 24.8 Years ;;
; C-FOAI ;De Havilland Canada DHC-8-314Q Dash 8; Y45 ; 19 Mar 2010 ;; 366 ; 25.3 Years ;;
; C-FYAI ;De Havilland Canada DHC-8-314 Dash 8; Y45 ; 20 Sep 2012 ;; 320 ; 26.2 Years ;;
; C-GAIW ;De Havilland Canada DHC-8-314(F) Dash 8; Cargo ; 10 Aug 2015 ;; 301 ; 30.3 Years ;;
; C-GIAB ;De Havilland Canada DHC-8-314 Dash 8; Y45 ; 4 Jun 2012 ;lsd ; 396 ; 30.4 Years ;;
; C-GLFD ;De Havilland Canada DHC-8-311Q Dash 8;; 19 Nov 2020 ;;; 23.7 Years ;;
; C-GRAI ;De Havilland Canada DHC-8-314Q Dash 8; Y45 ; 27 Aug 2009 ;; 383 ; 24.6 Years ;;
; C-GUAI ;De Havilland Canada DHC-8-314B Dash 8; Y45 ; 19 Mar 2009 ;; 323 ; 26.1 Years ;;
; C-GXAI ;De Havilland Canada DHC-8-314Q Dash 8; Y45 ; 25 Jun 2010 ;; 381 ; 24.4 Years ;;
