;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; LZ-HEA ;Airbus A321-231; Y219 ; 8 Aug 2019 ; 7 Dec 2020 ; Stored ;;;
; TC-OEA ;Airbus A321-231; Y204 ; 30 Jun 2020 ; 7 Jul 2020 ;TC-OEA Onur Air ;opby Onur Air ;;
; LZ-HEH ;Airbus A321-253N; Y218 ; 9 Nov 2020 ; 23 Apr 2021 ;OE-IFX Air Lease Corporation (ALC) ;lsd ;;
; LZ-HEI ;Airbus A321-253N; Y218 ; 9 Nov 2020 ; 23 Apr 2021 ;OE-IFY Air Lease Corporation (ALC) ;lsd ;;
