;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 2-SGSG ;Boeing 737-7H6(WL) BBJ; VIP ; 21 Sep 2018 ;; 22.4 Years ;;
; VP-BVV ;Boeing 737-73U(WL) BBJ; VIP ; 2 Oct 2018 ;; 22.9 Years ;;
