;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FSLO ;Boeing 737-8 MAX;; On Order ;lsd ; 802 ; 2.1 Years ;;
; C-FULH ;Boeing 737-8 MAX;; On Order ;lsd ; 803 ; 2 Years ;;
; C-GJSL ;Boeing 737-8 MAX;; 14 Feb 2022 ;lsd ; 801 ; 2.2 Years ;;
