;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N422AV ;Airbus A319-115; C12Y108 ; 26 Feb 2010 ;;; 12 Years ;;
; N519AV ;Airbus A319-115; C12Y108 ; 7 May 2012 ;Star Alliance cs ;; 9.9 Years ;;
; N557AV ;Airbus A319-115; C12Y108 ; 2 Mar 2012 ;;; 10 Years ;;
; N647AV ;Airbus A319-115; C12Y108 ; 26 Sep 2008 ;;; 13.4 Years ;;
; N690AV ;Airbus A319-132(WL); C12Y108 ; 7 Feb 2014 ;;; 8.1 Years ;;
; N691AV ;Airbus A319-115; C12Y108 ; 7 Nov 2008 ;;; 13.3 Years ;;
; N694AV ;Airbus A319-132(WL); C12Y108 ; 15 Apr 2014 ;;; 7.9 Years ;;
; N695AV ;Airbus A319-132(WL); C12Y108 ; 15 May 2014 ;;; 7.8 Years ;;
; N723AV ;Airbus A319-115(WL); C12Y108 ; 8 Jul 2014 ;;; 7.7 Years ;;
; N726AV ;Airbus A319-115(WL); C12Y108 ; 22 Jul 2014 ;;; 7.6 Years ;;
; N730AV ;Airbus A319-132(WL); C12Y108 ; 25 Nov 2014 ;;; 7.7 Years ;;
; N751AV ;Airbus A319-115(WL); C12Y108 ; 25 Aug 2016 ;;; 5.6 Years ;;
; N753AV ;Airbus A319-115(WL); C12Y108 ; 18 Oct 2016 ; Parked ;; 5.4 Years ;;
; - ;Airbus A320-214;; Due ; Stored, lsd ;; 10.4 Years ;;
; - ;Airbus A320-214;; Due ; Stored, lsd ;; 10.3 Years ;;
; HK-5273 ;Airbus A320-214(WL);; 29 Sep 2021 ;;; 3.4 Years ;;
; HK-5318 ;Airbus A320-214(WL);; 9 Oct 2021 ;lsd ;; 2.8 Years ;;
; HK-5319 ;Airbus A320-214(WL);; 31 Aug 2021 ;lsd ;; 2.8 Years ;;
; HK-5320 ;Airbus A320-214(WL);; 10 Sep 2021 ;lsd ;; 2.8 Years ;;
; HK-5335 ;Airbus A320-214(WL); C12Y138 ; Jul 2021 ;lsd ;; 2.4 Years ;;
; N195AV ;Airbus A320-214; C12Y138 ; 22 Jun 2012 ;lsd, Star Alliance cs ;; 9.7 Years ;;
; N230AC ;Airbus A320-214;; 31 Jan 2022 ; Parked, lsd ;; 13.4 Years ;;
; N253AC ;Airbus A320-214;; 20 Dec 2021 ;lsd ;; 13.3 Years ;;
; N281AV ;Airbus A320-214; C12Y138 ; 5 May 2010 ;lsd ;; 11.9 Years ;;
; N284AV ;Airbus A320-214; C12Y138 ; 18 May 2010 ;lsd, Retro (100 Years) cs ;; 11.9 Years ;;
; N345AV ;Airbus A320-214; C12Y138 ; 1 Jul 2010 ; Parked ;; 11.7 Years ;;
; N398AV ;Airbus A320-214; C12Y138 ; 3 Aug 2009 ;lsd ;; 12.6 Years ;;
; N401AV ;Airbus A320-214; C12Y138 ; 14 Aug 2009 ;lsd ;; 12.6 Years ;;
; N411AE ;Airbus A320-214;; 5 Jan 2022 ;lsd ;; 11.5 Years ;;
; N411AV ;Airbus A320-214; C12Y138 ; 3 Sep 2009 ;lsd ;; 12.6 Years ;;
; N416AV ;Airbus A320-214; C12Y138 ; 19 Jan 2010 ;;; 12.2 Years ;;
; N426AV ;Airbus A320-214; C12Y138 ; 22 Sep 2009 ;lsd ;; 12.5 Years ;;
; N4304 ;Airbus A320-214; C12Y138 ; 25 Jan 2022 ; Parked, lsd ;; 11.8 Years ;;
; N446AV ;Airbus A320-214; C12Y138 ; 1 Oct 2009 ;lsd ;; 12.4 Years ;;
; N451AV ;Airbus A320-214; C12Y138 ; 15 Oct 2009 ;lsd ;; 12.4 Years ;;
; N454AV ;Airbus A320-214; C12Y138 ; 24 Jan 2013 ;lsd, Star Alliance cs ;; 9.1 Years ;;
; N477AV ;Airbus A320-214(WL); C12Y138 ; 11 Feb 2013 ;lsd, Star Alliance cs ;; 9.1 Years ;;
; N481AV ;Airbus A320-214; C12Y138 ; 30 Aug 2010 ;;; 11.6 Years ;;
; N536AV ;Airbus A320-214; C12Y138 ; 20 Nov 2012 ;lsd, Star Alliance cs ;; 9.3 Years ;;
; N538AV ;Airbus A320-214; C12Y138 ; 13 Dec 2012 ;lsd ;; 9.3 Years ;;
; N562AV ;Airbus A320-214(WL); C12Y138 ; 28 May 2013 ;lsd ;; 8.8 Years ;;
; N567AV ;Airbus A320-214; C12Y138 ; 10 Feb 2011 ;lsd ;; 11.1 Years ;;
; N632AV ;Airbus A320-214(WL); C12Y138 ; 10 Jun 2013 ;lsd ;; 8.8 Years ;;
; N664AV ;Airbus A320-214; C12Y138 ; 31 Oct 2008 ;lsd ;; 13.4 Years ;;
; N688TA ;Airbus A320-214; C12Y138 ; 15 May 2020 ;lsd, Star Alliance cs ;; 9.6 Years ;;
; N724AV ;Airbus A320-214(WL); C12Y138 ; 16 Jul 2014 ; Parked, lsd ;; 7.7 Years ;;
; N728AV ;Airbus A320-214(WL); C12Y138 ; 2 Sep 2014 ; Parked, lsd ;; 7.6 Years ;;
; N740AV ;Airbus A320-214(WL); C12Y138 ; 28 Jan 2015 ; Parked, lsd ;; 7.2 Years ;;
; N742AV ;Airbus A320-214(WL); C12Y138 ; 30 Jul 2015 ;;; 6.7 Years ;;
; N743AV ;Airbus A320-214(WL); C12Y138 ; 31 Aug 2015 ;;; 6.5 Years ;;
; N745AV ;Airbus A320-214(WL); C12Y138 ; 22 Sep 2015 ;;; 6.5 Years ;;
; N748AV ;Airbus A320-214(WL); C12Y138 ; 11 Dec 2015 ;lsd ;; 6.3 Years ;;
; N750AV ;Airbus A320-214(WL); C12Y138 ; 24 May 2016 ;lsd ;; 5.8 Years ;;
