;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VP-BAC ;Airbus A320-214(WL); C8Y150 ; 27 Jul 2016 ;lsd ; L. Tolstoy / Л. Толстой ; 5.6 Years ;;;
; VP-BAD ;Airbus A320-214(WL); C8Y150 ; 11 Aug 2016 ;lsd ; A. Ioffe / А. Иоффе ; 5.6 Years ;;;
; VP-BCA ;Airbus A320-214(WL); C8Y150 ; 26 Sep 2016 ;lsd ; A. German / А. Герман ; 5.5 Years ;;;
; VP-BCB ;Airbus A320-214(WL); C8Y150 ; 22 Sep 2016 ;lsd ; S. Gerasimov / С. Герасимов ; 5.5 Years ;;;
; VP-BCE ;Airbus A320-214(WL); C8Y150 ; 27 Sep 2016 ;lsd ; F. Dostoevsky / Ф. Достоевский ; 5.5 Years ;;;
; VP-BEO ;Airbus A320-214(WL); C8Y150 ; 3 May 2016 ;lsd ; A. Fet / А. Фет ; 6 Years ;;;
; VP-BET ;Airbus A320-214(WL); C8Y150 ; 10 May 2016 ;lsd ; A. Voznesensky / А. Вознесенский ; 5.9 Years ;;;
; VP-BFA ;Airbus A320-214(WL); C8Y150 ; 28 Apr 2017 ;lsd ; F. Chaliapin / Ф. Шаляпин ; 5.1 Years ;;;
; VP-BFE ;Airbus A320-214(WL); C8Y150 ; 28 Apr 2017 ;lsd ; I. Levitan / И. Левитан ; 5 Years ;;;
; VP-BFG ;Airbus A320-214(WL); C8Y150 ; 28 Apr 2017 ;lsd ; G. Flerov / Г. Флеров ; 4.9 Years ;;;
; VP-BFH ;Airbus A320-214(WL); C8Y150 ; 23 Jun 2017 ;lsd ; K. Malevich / K. Малевич ; 4.9 Years ;;;
; VP-BID ;Airbus A320-214; C20Y120 ; 27 Dec 2012 ;lsd ; I. Tamm / И. Тамм ; 9.2 Years ;;;
; VP-BIF ;Airbus A320-214(WL); C8Y150 ; 22 Mar 2018 ;lsd ; L. Gaidai / Л. Гайдай ; 4.1 Years ;;;
; VP-BII ;Airbus A320-214(WL); C8Y150 ; 23 Mar 2018 ;lsd ; S. Dovlatov / С. Довлатов ; 4 Years ;;;
; VP-BIJ ;Airbus A320-214(WL); C8Y150 ; 13 Apr 2018 ;lsd ; M. Liepa / М. Лиепа ; 3.9 Years ;;;
; VP-BIL ;Airbus A320-214(WL); C8Y150 ; 7 Jun 2018 ; Parked, lsd ; I. Poddubny / И. Поддубный ; 3.8 Years ;;;
; VP-BIP ;Airbus A320-214(WL); C8Y150 ; 23 May 2018 ;lsd ; I. Severyanin / И. Северянин ; 3.8 Years ;;;
; VP-BIW ;Airbus A320-214(WL); C8Y150 ; 27 Apr 2018 ;lsd ; A. Glazunov / А. Глазунов ; 4 Years ;;;
; VP-BIX ;Airbus A320-214(WL); C8Y150 ; 8 Jun 2018 ;lsd ; Y. Gagarin / Ю. Гагарин ; 3.8 Years ;;;
; VP-BIY ;Airbus A320-214(WL); C8Y150 ; 20 Mar 2018 ;lsd ; V. Bryusov / В. Брюсов ; 4.1 Years ;;;
; VP-BJA ;Airbus A320-214(WL); C8Y150 ; 15 Mar 2013 ;lsd ; I. Mechnikov / И. Мечников ; 9 Years ;;;
; VP-BJW ;Airbus A320-214(WL); C8Y150 ; 14 Mar 2016 ;lsd ; K. Paustovsky / К. Паустовский ; 6.1 Years ;;;
; VP-BJY ;Airbus A320-214(WL); C8Y150 ; 29 Feb 2016 ; Parked, lsd ; S. Marshak / С. Маршак ; 6.1 Years ;;;
; VP-BKP ;Airbus A320-214(WL); C8Y150 ; 6 Sep 2017 ;lsd ; S. Prokofiev / С. Прокофьев ; 4.5 Years ;;;
; VP-BLH ;Airbus A320-214(WL); C8Y150 ; 2 Apr 2013 ;lsd ; P. Cherenkov / П. Черенков ; 9 Years ;;;
; VP-BLL ;Airbus A320-214(WL); C8Y150 ; 9 Apr 2013 ;lsd ; N. Basov / Н. Басов ; 8.9 Years ;;;
; VP-BLN ;Airbus A320-214(WL); C8Y150 ; 29 Sep 2017 ;lsd ; A. Tarasov / А. Тарасов ; 4.4 Years ;;;
; VP-BLO ;Airbus A320-214(WL); C8Y150 ; 18 Sep 2017 ;lsd ; I. Repin / И. Репин ; 4.5 Years ;;;
; VP-BLP ;Airbus A320-214(WL); C8Y150 ; 17 Apr 2013 ;lsd, Skyteam cs ;; 8.9 Years ;;;
; VP-BLR ;Airbus A320-214(WL); C8Y150 ; 23 Apr 2013 ;lsd ; P. Yablochkov / П. Яблочков ; 8.9 Years ;;;
; VP-BNL ;Airbus A320-214(WL); C8Y150 ; 3 May 2013 ;lsd ; A. Suvorov / A. Суворов ; 8.8 Years ;;;
; VP-BNT ;Airbus A320-214(WL); C8Y150 ; 28 May 2013 ;lsd, Retro cs ; Dobrolet / Добролёт ; 8.9 Years ;;;
