;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; HS-ABA ;Airbus A320-216; Y180 ; 19 Oct 2007 ;lsd ; 14.4 Years ;;;
; HS-ABC ;Airbus A320-216; Y180 ; 11 Dec 2007 ; Parked, lsd ; 14.3 Years ;;;
; HS-ABE ;Airbus A320-216; Y180 ; 16 May 2008 ; Parked KUL, lsd, Truly ASEAN cs ; 13.9 Years ;;;
; HS-ABF ;Airbus A320-216; Y180 ; 3 Jun 2008 ; Parked KUL, lsd ; 13.8 Years ;;;
; HS-ABM ;Airbus A320-216; Y180 ; 18 May 2010 ; Parked CNX, lsd ; 11.9 Years ;;;
; HS-ABN ;Airbus A320-216; Y180 ; 21 May 2010 ; Parked, lsd ; 11.8 Years ;;;
; HS-ABO ;Airbus A320-216; Y180 ; 18 Jun 2010 ; Parked, lsd ; 11.7 Years ;;;
; HS-ABP ;Airbus A320-216; Y180 ; 20 Jul 2010 ;lsd ; 11.7 Years ;;;
; HS-ABQ ;Airbus A320-216; Y180 ; 5 Aug 2010 ;lsd ; 11.6 Years ;;;
; HS-ABR ;Airbus A320-216; Y180 ; 10 Aug 2010 ; Parked DMK, lsd ; 11.6 Years ;;;
; HS-ABS ;Airbus A320-216; Y180 ; 30 Sep 2010 ;lsd ; 11.5 Years ;;;
; HS-ABT ;Airbus A320-216; Y180 ; 20 Jan 2011 ;lsd, King Power cs ; 11.1 Years ;;;
; HS-ABU ;Airbus A320-216; Y180 ; 18 Apr 2015 ;; 10.6 Years ;;;
; HS-ABV ;Airbus A320-216; Y180 ; 23 Dec 2011 ;lsd, Leicester City Football Club cs ; 10.2 Years ;;;
; HS-ABW ;Airbus A320-216; Y180 ; 23 Jan 2012 ; Parked DMK, lsd ; 10.2 Years ;;;
; HS-ABX ;Airbus A320-214; Y180 ; 16 Feb 2012 ;lsd, Kingpower.com cs ; 10.3 Years ;;;
; HS-ABY ;Airbus A320-214; Y180 ; 23 Mar 2012 ; Parked DMK, lsd ; 10.2 Years ;;;
; HS-ABZ ;Airbus A320-216; Y180 ; 27 Sep 2012 ;; 9.5 Years ;;;
; HS-BBA ;Airbus A320-214; Y180 ; 30 Oct 2012 ;lsd, Shades of The River / สีสันธารา cs ; 9.4 Years ;;;
; HS-BBB ;Airbus A320-216; Y180 ; 9 Nov 2012 ;; 9.4 Years ;;;
; HS-BBC ;Airbus A320-216(WL); Y180 ; 31 Jan 2013 ;; 9.1 Years ;;;
; HS-BBD ;Airbus A320-216(WL); Y180 ; 22 Apr 2013 ; Parked DMK ; 8.9 Years ;;;
; HS-BBE ;Airbus A320-216(WL); Y180 ; 31 Jul 2013 ;; 8.6 Years ;;;
; HS-BBF ;Airbus A320-216(WL); Y180 ; 30 Sep 2013 ; Parked DMK, lsd ; 8.5 Years ;;;
; HS-BBG ;Airbus A320-216(WL); Y180 ; 22 Oct 2013 ; Parked DMK, lsd ; 8.4 Years ;;;
; HS-BBH ;Airbus A320-216(WL); Y180 ; 8 Nov 2013 ;Now Everyone Can Fly Responsibly cs ; 8.4 Years ;;;
; HS-BBI ;Airbus A320-216(WL); Y180 ; 15 Nov 2013 ;; 8.3 Years ;;;
; HS-BBJ ;Airbus A320-216(WL); Y180 ; 2 Dec 2013 ; Parked, Sustainable ASEAN tourism cs ; 8.3 Years ;;;
; HS-BBL ;Airbus A320-216(WL); Y180 ; 6 Feb 2014 ; Parked ; 8.1 Years ;;;
; HS-BBM ;Airbus A320-216(WL); Y180 ; 9 Jul 2014 ;; 7.7 Years ;;;
; HS-BBO ;Airbus A320-216(WL); Y180 ; 16 Sep 2014 ; Parked DMK, lsd ; 7.5 Years ;;;
; HS-BBP ;Airbus A320-216(WL); Y180 ; 9 Jan 2015 ; Parked, lsd ; 7.2 Years ;;;
; HS-BBQ ;Airbus A320-216(WL); Y180 ; 21 Jan 2015 ; Parked DMK, lsd ; 7.2 Years ;;;
; HS-BBR ;Airbus A320-216(WL); Y180 ; 20 Jul 2015 ;lsd ; 6.7 Years ;;;
; HS-BBS ;Airbus A320-216; Y180 ; 30 Oct 2015 ; Parked DMK, lsd ; 12.4 Years ;;;
; HS-BBT ;Airbus A320-216; Y180 ; 21 Jan 2016 ; Parked DMK, lsd ; 9.2 Years ;;;
; HS-BBU ;Airbus A320-216(WL); Y180 ; 23 Mar 2016 ; Parked DMK, lsd ; 6 Years ;;;
; HS-BBV ;Airbus A320-216(WL); Y180 ; 14 Apr 2016 ; Parked, lsd ; 5.9 Years ;;;
; HS-BBW ;Airbus A320-216(WL); Y180 ; 17 Jun 2016 ; Parked DMK, lsd ; 5.8 Years ;;;
; HS-CBA ;Airbus A320-216(WL); Y180 ; 21 Mar 2017 ; Parked, lsd ; 5 Years ;;;
