;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VT-MAX ;Boeing 737-8 MAX; Y189 ; 27 Sep 2018 ;lsd ; King Chilli ; 3.5 Years ;;;
; VT-MBA ;Boeing 737-8 MAX; Y189 ; On Order ;;; 2.6 Years ;;;
; VT-MBB ;Boeing 737-8 MAX; Y189 ; On Order ;;; 2.5 Years ;;;
; VT-MXA ;Boeing 737-8 MAX; Y189 ; 31 Oct 2018 ;lsd ; Wasabi ; 3.3 Years ;;;
; VT-MXB ;Boeing 737-8 MAX; Y189 ; 1 Dec 2018 ;lsd ; Jalapeño ; 3.3 Years ;;;
; VT-MXC ;Boeing 737-8 MAX; Y189 ; 22 Dec 2018 ;lsd ; Mint ; 3.2 Years ;;;
; VT-MXD ;Boeing 737-8 MAX; Y189 ; 1 Nov 2018 ;lsd ; Cinnamon ; 3.4 Years ;;;
; VT-MXE ;Boeing 737-8 MAX; Y189 ; 13 Nov 2018 ;lsd ; Tarragon ; 3.3 Years ;;;
; VT-MXF ;Boeing 737-8 MAX; Y189 ; 6 Dec 2018 ; Parked BOM, lsd ; Cardamom ; 3.3 Years ;;;
; VT-MXG ;Boeing 737-8 MAX; Y189 ; 26 Dec 2018 ;; Basil ; 3.2 Years ;;;
; VT-MXH ;Boeing 737-8 MAX; Y189 ; 28 Jan 2019 ;lsd ; Piri Piri ; 3.2 Years ;;;
; VT-MXI ;Boeing 737-8 MAX; Y189 ; 27 Dec 2018 ;lsd ; Dill ; 3.2 Years ;;;
; VT-MXJ ;Boeing 737-8 MAX; Y189 ; 30 Dec 2018 ; Parked AMD ; Green Chili ; 3.2 Years ;;;
; VT-MXK ;Boeing 737-8 MAX; Y189 ; 5 Mar 2019 ;lsd ; Chilli Pepper ; 3 Years ;;;
; VT-MXL ;Boeing 737-8 MAX; Y189 ; On Order ;; Lemongrass ; 3 Years ;;;
; VT-MXM ;Boeing 737-8 MAX; Y189 ; On Order ;; White Pepper ; 2.9 Years ;;;
; VT-MXN ;Boeing 737-8 MAX; Y189 ; On Order ;;; 2.9 Years ;;;
; VT-MXO ;Boeing 737-8 MAX; Y189 ; On Order ;;; 2.7 Years ;;;
; VT-MXQ ;Boeing 737-8 MAX; Y189 ; On Order ;;; 2.3 Years ;;;
; VT-MXW ;Boeing 737-8 MAX; Y189 ; On Order ;;; 2.6 Years ;;;
; VT-MXX ;Boeing 737-8 MAX; Y189 ; 1 Feb 2019 ;lsd ; Sweetgrass ; 3.1 Years ;;;
; VT-MXY ;Boeing 737-8 MAX; Y189 ; On Order ;;; 3 Years ;;;
; VT-MXZ ;Boeing 737-8 MAX; Y189 ; On Order ;;; 2.7 Years ;;;
; VT- ;Boeing 737-8 MAX; Y189 ; On Order ;lsd ;; 2.6 Years ;;;
; VT- ;Boeing 737-8 MAX; Y189 ; On Order ;lsd ;; 2.3 Years ;;;
