;Reg;Aircraft Type; Config ;Delivered;Exit Date; Status / Fate ; Remark ;;
; F-GGBJ ;Saab 340A; Y33 ; May 1989 ; 8 Mar 1990 ;VH-EKT Kendell Airlines ;;;
; F-GKLA ;Saab 340B; Y33 ; 27 Nov 1989 ; 9 Apr 1991 ;F-GKLA Air France ;lsf Crossair ;;
