;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VH-JQG ;Airbus A320-232; Y180 ; 13 Mar 2020 ;opby Network Aviation ; Grevillea ; 17.9 Years ;;;
; VH-JQL ;Airbus A320-232; Y180 ; 28 Nov 2019 ;opby Network Aviation ; Golden Wattle ; 17.8 Years ;;;
; VH-JQX ;Airbus A320-232; Y180 ; 26 Oct 2020 ;opby Network Aviation ; Wreath Flower ; 17.7 Years ;;;
; VH-UVJ ;Airbus A320-232; Y180 ; 24 Mar 2021 ;opby Network Aviation ; Swan River Daisy ; 17.1 Years ;;;
; VH-UVK ;Airbus A320-232; Y180 ; 13 Jan 2021 ;opby Network Aviation ; Geraldton Wax ; 17.4 Years ;;;
; VH-UVO ;Airbus A320-232; Y180 ; 19 Oct 2020 ;opby Network Aviation ; Mottlecah ; 16.8 Years ;;;
; VH-UVP ;Airbus A320-232; Y180 ; 15 Dec 2020 ;opby Network Aviation ; Silver Hakea ; 16.3 Years ;;;
; VH-UVQ ;Airbus A320-232; Y180 ; 1 Jun 2021 ;opby Network Aviation ; Jarrah ; 16.9 Years ;;;
; VH-VQS ;Airbus A320-232; Y180 ; 22 Mar 2018 ;opby Network Aviation ; Kangaroo Paw ; 16.6 Years ;;;
; VH-VQU ;Airbus A320-232; Y180 ; 13 Apr 2018 ;opby Network Aviation ; River Red Gum ; 16.8 Years ;;;
; VH-VQZ ;Airbus A320-232; Y180 ; 23 Jul 2021 ;opby Network Aviation ; Sandstone Leaf ; 17.4 Years ;;;
; VH-NXD ;Boeing 717-23S; Y125 ; 11 Oct 2005 ; Parked, opby National Jet Systems ; Berowra Valley National Park ; 21.6 Years ;;;
; VH-NXE ;Boeing 717-23S; C12Y98 ; 30 Apr 2005 ;opby National Jet Systems ;; 21.5 Years ;;;
; VH-NXG ;Boeing 717-2K9; Y125 ; 9 Nov 2005 ;opby National Jet Systems ;; 21.9 Years ;;;
; VH-NXH ;Boeing 717-2K9; Y125 ; 22 Dec 2005 ;opby National Jet Systems ;; 22.3 Years ;;;
; VH-NXI ;Boeing 717-2K9; C12Y98 ; 24 Jan 2006 ;opby National Jet Systems ; Blue Mountains National Park ; 22.3 Years ;;;
; VH-NXJ ;Boeing 717-2BL; C12Y98 ; 11 May 2012 ;opby National Jet Systems ; Kakadu National Park ; 19.3 Years ;;;
; VH-NXK ;Boeing 717-231; Y125 ; 1 Mar 2007 ;opby National Jet Systems ; Eucla National Park ; 20.5 Years ;;;
; VH-NXL ;Boeing 717-231; Y125 ; 29 Mar 2007 ;opby National Jet Systems ; Daintree National Park ; 20.5 Years ;;;
; VH-NXM ;Boeing 717-231; Y125 ; 11 May 2007 ;opby National Jet Systems ; Strzelech National Park ; 20.5 Years ;;;
; VH-NXN ;Boeing 717-231; Y125 ; 16 Oct 2007 ;opby National Jet Systems ; Freycinet National Park ; 20.4 Years ;;;
; VH-NXO ;Boeing 717-231; Y125 ; 19 Jul 2007 ;opby National Jet Systems ; Wilsons Promontory National Park ; 20.3 Years ;;;
; VH-NXQ ;Boeing 717-231; C12Y98 ; 5 Sep 2007 ;opby National Jet Systems ; Port Campbell National Park ; 20.3 Years ;;;
; VH-NXR ;Boeing 717-2BL; C12Y98 ; 10 Apr 2012 ;opby National Jet Systems ; Murray River National Park ; 18.9 Years ;;;
