;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; G-DBCA ;Airbus A319-131; CY144 ; 11 Nov 2012 ;lsd ; 18.2 Years ;;;
; G-DBCB ;Airbus A319-131; CY144 ; 28 May 2012 ;lsd ; 18 Years ;;;
; G-DBCC ;Airbus A319-131; CY144 ; 29 May 2012 ;lsd ; 18 Years ;;;
; G-DBCD ;Airbus A319-131; CY144 ; 18 Jun 2012 ;lsd ; 17.1 Years ;;;
; G-DBCE ;Airbus A319-131; CY144 ; 30 Jun 2012 ;lsd ; 17 Years ;;;
; G-DBCF ;Airbus A319-131; CY144 ; 8 Jul 2012 ; Parked, lsd ; 16.8 Years ;;;
; G-DBCG ;Airbus A319-131; CY144 ; 11 Jul 2012 ; Parked LGW, lsd ; 16 Years ;;;
; G-DBCH ;Airbus A319-131; CY144 ; 7 Jun 2012 ;lsd ; 16 Years ;;;
; G-DBCJ ;Airbus A319-131; CY144 ; 7 Aug 2012 ;lsd ; 15.2 Years ;;;
; G-DBCK ;Airbus A319-131; CY144 ; 7 Aug 2012 ;lsd ; 15 Years ;;;
; G-EUOA ;Airbus A319-131; CY143 ; 15 Jun 2001 ; Parked, lsd ; 20.8 Years ;;;
; G-EUOE ;Airbus A319-131; CY143 ; 5 Sep 2001 ;; 20.6 Years ;;;
; G-EUOF ;Airbus A319-131; CY143 ; 23 Oct 2001 ;lsd ; 20.5 Years ;;;
; G-EUOG ;Airbus A319-131; CY143 ; 23 Oct 2001 ;lsd ; 20.4 Years ;;;
; G-EUPD ;Airbus A319-131; CY143 ; 10 Dec 1999 ;; 22.3 Years ;;;
; G-EUPG ;Airbus A319-131; CY132 ; 25 May 2000 ; Parked ; 21.9 Years ;;;
; G-EUPJ ;Airbus A319-131; CY143 ; 30 May 2000 ;BEA (1959-1968) retro cs ; 21.8 Years ;;;
; G-EUPK ;Airbus A319-131; CY143 ; 30 May 2000 ; Parked ; 21.8 Years ;;;
; G-EUPL ;Airbus A319-131; CY143 ; 8 Jun 2000 ; Parked, lsd ; 21.8 Years ;;;
; G-EUPM ;Airbus A319-131; CY143 ; 30 Jun 2000 ;lsd ; 21.7 Years ;;;
; G-EUPN ;Airbus A319-131; CY143 ; 10 Jul 2000 ;lsd ; 21.7 Years ;;;
; G-EUPO ;Airbus A319-131; CY143 ; 1 Aug 2000 ;lsd ; 21.7 Years ;;;
; G-EUPP ;Airbus A319-131; CY143 ; 14 Aug 2000 ;lsd ; 21.6 Years ;;;
