;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; VN-A687 ;Airbus A321-211(WL); Y230 ; 22 Dec 2016 ;lsd ; 5.2 Years ;;;
; VN-A698 ;Airbus A321-211(WL); Y230 ; 8 Aug 2018 ;lsd ; 3.6 Years ;;;
; VN-A520 ;Airbus A321-271NX; Y240 ; 24 Sep 2019 ; Parked, lsd, "Petrolimex" sticker ; 2.5 Years ;;;
; VN-A521 ;Airbus A321-271NX; Y240 ; 30 Dec 2019 ;"Bảo vệ hành tinh xanh - Bay nhanh cùng Vietjet" sticker ; 2.2 Years ;;;
; VN-A523 ;Airbus A321-271NX; Y240 ; 31 Dec 2020 ;; 1.8 Years ;;;
; VN-A524 ;Airbus A321-271NX; Y240 ; 12 Aug 2021 ; Parked ; 1.7 Years ;;;
; VN-A531 ;Airbus A321-271NX; Y240 ; 27 Nov 2019 ;"Petrolimex" sticker ; 2.3 Years ;;;
; VN-A533 ;Airbus A321-271NX; Y240 ; 20 Aug 2021 ;; 1.4 Years ;;;
; VN-A534 ;Airbus A321-271NX; Y240 ; 31 Dec 2020 ;; 1.3 Years ;;;
; VN-A540 ;Airbus A321-271N; Y230 ; 28 Apr 2021 ;; 6 Years ;;;
; VN-A543 ;Airbus A321-271NX;; On Order ;;;;;
; VN-A600 ;Airbus A321-271N; Y230 ; 2 Apr 2019 ;lsd, "Petrolimex" sticker ; 2.9 Years ;;;
; VN-A607 ;Airbus A321-271N; Y230 ; 24 May 2019 ;Amy (Vietjet mascot) cs ; 2.8 Years ;;;
; VN-A626 ;Airbus A321-271N; Y230 ; 25 Jul 2019 ; Parked ; 2.6 Years ;;;
; VN-A646 ;Airbus A321-271N; Y230 ; 29 Dec 2017 ; Parked, lsd, First A321neo in Southeast Asia cs ; 4.2 Years ;;;
; VN-A652 ;Airbus A321-271N; Y230 ; 29 Dec 2018 ;lsd ; 3.2 Years ;;;
; VN-A653 ;Airbus A321-271N; Y230 ; 14 Nov 2018 ;lsd ; 3.5 Years ;;;
; VN-A654 ;Airbus A321-271N; Y230 ; 7 Aug 2018 ;lsd ; 3.6 Years ;;;
; VN-A674 ;Airbus A321-271N; Y230 ; 17 Aug 2018 ;lsd ; 3.6 Years ;;;
; VN-A693 ;Airbus A321-271N; Y230 ; 23 Apr 2019 ; Parked, lsd ; 3.1 Years ;;;
; VN-A694 ;Airbus A321-271N; Y230 ; 21 Dec 2018 ;lsd, "Tôi yêu Tổ Quốc tôi" sticker ; 3.2 Years ;;;
; VN-A697 ;Airbus A321-271N; Y230 ; 26 Nov 2018 ; Parked, lsd ; 3.3 Years ;;;
; VN- ;Airbus A321-271NX; Y240 ; On Order ;;;;;
; VN- ;Airbus A321-271NX; Y240 ; On Order ;;;;;
; VN- ;Airbus A321-271NX;; On Order ;;;;;
; VN- ;Airbus A321-271NX; Y240 ; On Order ;;;;;
; VN- ;Airbus A321-271NX; Y240 ; On Order ;;;;;
; VN- ;Airbus A321-271NX;; On Order ;;;;;
; VN-A811 ;Airbus A330-343; C12Y365 ; 25 Dec 2021 ;lsd, "Petrolimex" sticker ; 13.2 Years ;;;
; VN- ;Airbus A330-343;; Due ; Stored, lsd ; 11.4 Years ;;;
; VN- ;Airbus A330-343;; Due ; Stored, lsd ; 13.4 Years ;;;
; VN- ;Boeing 737-8200 MAX;; On Order ;;;;;
