;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; XY-AGR ;Airbus A319-112;; 17 Jan 2013 ;;; 19.6 Years ;;
; XY-AGV ;Airbus A319-111;; 19 Nov 2013 ;lsd ;; 21.8 Years ;;
; XY-ALK ;Airbus A319-115;; 18 Dec 2019 ;lsd ; Mandalay ; 9.7 Years ;;
; XY-ALN ;Airbus A319-112;; 11 Jun 2020 ;lsd ; Myitkyina ; 16.9 Years ;;
; XY-ALJ ;Airbus A320-214; Y180 ; 4 Sep 2019 ;lsd ; Yangon ; 14.5 Years ;;
; XY-ALL ;Airbus A320-214; Y180 ; 25 Feb 2021 ;lsd ; Taunggyi ; 10.7 Years ;;
; XY-ALM ;Airbus A320-214; Y180 ; Due ; Stored, lsd ;; 10.7 Years ;;
; XY-ALR ;Airbus A320-214; Y180 ; 8 Apr 2021 ;lsd ; Naypyidaw ; 12 Years ;;
; XY-ALT ;Airbus A320-214(WL);; 1 Nov 2021 ;lsd ; Kalaw ; 8.1 Years ;;
; XY-ALO ;Embraer ERJ-190LR (ERJ-190-100 LR);; 26 Oct 2020 ;lsd ; Hakha ; 10 Years ;;
; XY-ALP ;Embraer ERJ-190LR (ERJ-190-100 LR);; 23 Dec 2020 ;lsd ; Loikaw ; 9.7 Years ;;
; XY-ALU ;Embraer ERJ-190LR (ERJ-190-100 LR);; 6 Nov 2021 ;lsd ; Myeik ; 9.8 Years ;;
