;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; C5-MAE ;Boeing 737-306;; 23 Oct 2015 ;lsf Mid Africa Aviation ; 24.5 Years ;;
; C5-MAJ ;Boeing 737-36N;; May 2018 ; Parked ; 24.3 Years ;;
; ST-TAD ;Boeing 737-306;; Dec 2018 ;; 24.3 Years ;;
; ST-TAL ;Boeing 737-332; Y148 ; 2019 ;; 28.7 Years ;;
; ST-TAG ;Boeing 737-4H6;; May 2018 ;; 28.5 Years ;;
; ST-TAI ;Boeing 737-4H6;; 15 Jan 2021 ;; 28.8 Years ;;
; C5-AAN ;Boeing 737-522; Y131 ; 12 Mar 2012 ; Parked, lsf Mid Africa Aviation ; 29.3 Years ;;
; C5-MAM ;Fokker F50; Y50 ; Due ; Stored ; 24.9 Years ;;
; C5-MAP ;Fokker F50; Y50 ; Jun 2017 ;; 26.6 Years ;;
