;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; EI-MNG ;Boeing 737-8 MAX; C12Y150 ; 30 Jan 2019 ; Parked ULN, lsd ; Tolui Khaan ; 3.1 Years ;;
; EI-CXV ;Boeing 737-8CX(WL); C12Y162 ; 3 Jul 2002 ;lsd, Borussia Dortmund cs ; Khubelai Khan ; 19.7 Years ;;
; JU-1015 ;Boeing 737-8SH(WL); C12Y150 ; 9 May 2014 ;lsd ; Guyug Khaan ; 7.8 Years ;;
; JU-1088 ;Boeing 737-8AL(WL); C12Y156 ; 8 Jun 2019 ;lsd ; Zuchi Khaan ; 10.3 Years ;;
; JU-1021 ;Boeing 767-34GER(WL); C15Y237 ; 13 May 2013 ;; Chinggis Khaan ; 8.9 Years ;;
