;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; 5H-TCH ;Airbus A220-300; C12Y120 ; 21 Dec 2018 ;; Dodoma ; 3.2 Years ;;
; 5H-TCI ;Airbus A220-300; C12Y120 ; 9 Jan 2019 ;; Ngorongoro ; 3.2 Years ;;
; 5H-TCL ;Airbus A220-300; C12Y120 ; 24 Sep 2021 ;; Tanzanite ; 0.5 Years ;;
; 5H-TCM ;Airbus A220-300; C12Y120 ; 5 Oct 2021 ;; Zanzibar ; 0.4 Years ;;
; 5H-TCG ;Boeing 787-8 Dreamliner; C22Y240 ; 6 Jul 2018 ;; Kilimanjaro ; 3.7 Years ;;
; 5H-TCJ ;Boeing 787-8 Dreamliner; C22Y240 ; 24 Oct 2019 ;; Rubondo Island ; 2.4 Years ;;
; 5H-TCB ;Bombardier DHC-8-402Q Dash 8; CY76 ; 3 Oct 2016 ;; Mikumi ; 7 Years ;;
; 5H-TCD ;Bombardier DHC-8-402Q Dash 8; CY76 ; 20 Sep 2016 ;; Katavi ; 6.9 Years ;;
; 5H-TCE ;Bombardier DHC-8-402Q Dash 8; CY76 ; 27 Mar 2018 ;; Gombe ; 4.7 Years ;;
; 5H-TCF ;De Havilland Canada DHC-8-402 Dash 8; CY78 ; 12 Dec 2019 ;; Kitulo ; 2.3 Years ;;
; 5H-TCK ;De Havilland Canada DHC-8-402 Dash 8; CY78 ; 16 Aug 2021 ;; Saadani National Park ; 1.2 Years ;;
