;Reg;Aircraft Type;Config;Delivered;Remark;Age;;
;N652GT;Boeing 767-231(BDSF);Cargo;9 May 2021;lsf DHL, opf DHL;38.6 Years;;
;N881YV;Boeing 767-241ER(BDSF);Cargo;Oct 2014;;35.1 Years;;
;N999YV;Boeing 767-241ER(BDSF);Cargo;14 Oct 2014;;34.9 Years;;
;N538LA;Boeing 767-316ER(BCF)(WL);Cargo;29 Jan 2020;opf LATAM Cargo Colombia;15.6 Years;;
;N540LA;Boeing 767-316ER(BCF)(WL);Cargo;29 Jan 2020;opf LATAM Cargo Colombia;15.3 Years;;
;N542LA;Boeing 767-316ER(BCF)(WL);Cargo;29 Jan 2020;opf LATAM Cargo Colombia;15.7 Years;;
