;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; N202HA ;Airbus A321-271N; C16Y173 ; 27 Oct 2017 ;; 202 ; Maile ; 4.4 Years ;;
; N204HA ;Airbus A321-271N; C16Y173 ; 22 Dec 2017 ;; 204 ; ʻŌhiʻa lehua ; 4.2 Years ;;
; N205HA ;Airbus A321-271N; C16Y173 ; 7 May 2018 ;; 205 ; Kalo ; 3.8 Years ;;
; N208HA ;Airbus A321-271N; C16Y173 ; 30 Oct 2018 ;; 208 ; Koa ; 3.5 Years ;;
; N209HA ;Airbus A321-271N; C16Y173 ; 28 Jun 2018 ;lsd ; 209 ; Iliahi ; 3.7 Years ;;
; N212HA ;Airbus A321-271N; C16Y173 ; 12 Jun 2018 ;; 212 ; Wiliwili ; 3.7 Years ;;
; N213HA ;Airbus A321-271N; C16Y173 ; 19 Jul 2018 ;lsd ; 213 ; Lama ; 3.6 Years ;;
; N214HA ;Airbus A321-271N; C16Y173 ; 19 Jul 2018 ;; 214 ; Kukui ; 3.6 Years ;;
; N215HA ;Airbus A321-271N; C16Y173 ; 29 Jun 2018 ;; 215 ; Uhiuhi ; 3.7 Years ;;
; N216HA ;Airbus A321-271N; C16Y173 ; 19 Sep 2018 ;; 216 ; Mãmane ; 3.5 Years ;;
; N217HA ;Airbus A321-271N; C16Y173 ; 21 Nov 2018 ;; 217 ; Kauila ; 3.3 Years ;;
; N218HA ;Airbus A321-271N; C16Y173 ; 26 Feb 2019 ;; 218 ; Kou ; 3 Years ;;
; N220HA ;Airbus A321-271N; C16Y173 ; 23 May 2019 ;; 220 ; Milo ; 2.8 Years ;;
; N223HA ;Airbus A321-271N; C16Y173 ; 27 Sep 2019 ;; 223 ; Hau ; 2.4 Years ;;
; N226HA ;Airbus A321-271N; C16Y173 ; 30 Aug 2019 ;; 226 ; Loulu ; 2.5 Years ;;
; N227HA ;Airbus A321-271N; C16Y173 ; 31 Oct 2019 ;; 227 ; Olopua ; 2.3 Years ;;
; N228HA ;Airbus A321-271N; C16Y173 ; 10 Dec 2019 ;; 228 ; Ulu ; 2.2 Years ;;
; N230HA ;Airbus A321-271N; C16Y173 ; 13 May 2020 ;; 230 ; Wauke ; 1.9 Years ;;
; N360HA ;Airbus A330-243; C18Y260 ; 3 Jun 2016 ;lsd ; 360 ; Tutukamolehonua ; 5.8 Years ;;
; N361HA ;Airbus A330-243; C18Y260 ; 28 Sep 2017 ;lsd ; 361 ; Hoku Mau ; 4.4 Years ;;
; N370HA ;Airbus A330-243; C18Y260 ; 1 Apr 2014 ; Parked ; 370 ; Kuamoʻo ; 8 Years ;;
; N373HA ;Airbus A330-243; C18Y260 ; 16 Jun 2014 ;; 373 ; Kūkalani'ehu ; 7.8 Years ;;
; N374HA ;Airbus A330-243; C18Y260 ; 14 Oct 2014 ;; 374 ; Melemele ; 7.5 Years ;;
; N375HA ;Airbus A330-243; C18Y260 ; 24 Feb 2015 ;lsd ; 375 ; Humu ; 7.1 Years ;;
; N378HA ;Airbus A330-243; C18Y260 ; 14 May 2015 ;lsd ; 378 ; Kaukamalama ; 6.9 Years ;;
; N379HA ;Airbus A330-243; C18Y260 ; 29 Oct 2015 ;lsd ; 379 ; Pau-ahi ; 6.5 Years ;;
