;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; C-GDMP ;Boeing 737-8CT(WL); Y189 ; 22 May 2018 ;; 838 ; #Hamilton ; 6.9 Years ;;
; C-FPLS ;Boeing 737-8CT(WL); Y189 ; 17 Jun 2018 ;; 839 ; #Abbotsford ; 6.8 Years ;;
; C-GXRW ;Boeing 737-8CT(WL); Y189 ; 13 Jul 2018 ;; 840 ; #Bob ; 6.6 Years ;;
; C-FONK ;Boeing 737-8CT(WL); Y189 ; 3 Aug 2018 ;; 841 ; #Jon ; 6.4 Years ;;
; C-FLBV ;Boeing 737-8CT(WL); Y189 ; 1 Oct 2018 ;; 842 ; #Chinook ; 6.3 Years ;;
; C-FYBK ;Boeing 737-8CT(WL); Y189 ; 23 Oct 2018 ;; 843 ; #OhCanada ; 6.3 Years ;;
; C-FLSF ;Boeing 737-8CT(WL); Y189 ; 22 May 2019 ;; 845 ; #Bruce ; 6.3 Years ;;
; C-FYPB ;Boeing 737-8CT(WL); Y189 ; 16 Oct 2019 ;; 846 ; #Blowin’aGale ; 6.3 Years ;;
; C-GNDG ;Boeing 737-8CT(WL); Y189 ; 8 Nov 2019 ;; 847 ; #Aurora ; 6.2 Years ;;
; C-GYSD ;Boeing 737-8CT(WL); Y189 ; 2 Nov 2021 ;; 848 ; #Edmonton ; 6 Years ;;
