;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; D2-TBF ;Boeing 737-7M2(WL); C12Y108 ; 31 Aug 2006 ;; Calandula ; 15.6 Years ;;
; D2-TBG ;Boeing 737-7M2(WL); C12Y108 ; 12 Sep 2006 ; Parked ; Tundavala ; 15.5 Years ;;
; D2-TBH ;Boeing 737-7M2(WL); C12Y108 ; 14 Sep 2006 ;; Maiombe ; 15.5 Years ;;
; D2-TBJ ;Boeing 737-7M2(WL); C12Y108 ; 18 Jan 2007 ;; Luena ; 15.2 Years ;;
; D2-TBK ;Boeing 737-7HB(QC)(WL); C12Y108/Cargo ; Dec 2011 ; Parked ; Kifangondo ; 14 Years ;;
; D2- ;Boeing 737-7HB(WL);; Due ; Stored ;; 13.4 Years ;;
; D2- ;Boeing 737-7HB(WL);; Due ; Stored ;; 14.7 Years ;;
; D2-TED ;Boeing 777-2M2ER; F14C51Y170 ; 15 Sep 2006 ; Parked LAD ; 11 De Novembro ; 15.5 Years ;;
; D2-TEE ;Boeing 777-2M2ER; F14C51Y170 ; 27 Oct 2006 ; Parked LAD ; Kuito Kuanavale ; 15.4 Years ;;
; D2-TEF ;Boeing 777-2M2ER; F14C51Y170 ; 21 Dec 2007 ; Parked ;; 14.2 Years ;;
; D2-TEG ;Boeing 777-3M2ER; F12C56Y225 ; 14 Jun 2011 ; Parked ; Sagrada Esperança ; 10.8 Years ;;
; D2-TEH ;Boeing 777-3M2ER; F12C56Y225 ; 7 Jul 2011 ; Parked LAD ; Welwitschia Mirabilis ; 10.7 Years ;;
; D2-TEI ;Boeing 777-3M2ER; F12C56Y225 ; 16 Jun 2014 ;; Ebo ; 7.9 Years ;;
; D2-TEJ ;Boeing 777-3M2ER; F8C53Y228 ; 29 Apr 2016 ;; Iona ; 6.3 Years ;;
; D2-TEK ;Boeing 777-3M2ER; F8C53Y228 ; 29 Sep 2016 ;; Morro do Moco ; 5.8 Years ;;
; D2-TFA ;De Havilland Canada DHC-8-402 Dash 8; C10Y64 ; 17 Jul 2020 ; Parked ; Kwanza ; 1.8 Years ;;
; D2-TFB ;De Havilland Canada DHC-8-402 Dash 8; C10Y64 ; 17 Aug 2020 ;; Zaire ; 1.6 Years ;;
; D2-TFC ;De Havilland Canada DHC-8-402 Dash 8; C10Y64 ; 11 Feb 2021 ; Parked ; Cunene ; 1.5 Years ;;
; D2-TFD ;De Havilland Canada DHC-8-402 Dash 8; C10Y64 ; 6 Oct 2021 ;; Cassai ; 0.9 Years ;;
; D2-TFE ;De Havilland Canada DHC-8-402 Dash 8; C10Y64 ; 22 Jan 2022 ;; Cunhinga ; 0.8 Years ;;
; D2- ;De Havilland Canada DHC-8-402 Dash 8; C10Y64 ; On Order ;; Dande ; 0.7 Years ;;
