;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N906FX ;ATR 42-320(F); Cargo ; 23 Apr 2003 ;lsf FedEx Express, opf FedEx Feeder ; 906 ; 30.2 Years ;;
; N907FX ;ATR 42-320(F); Cargo ; 30 May 2003 ;lsf FedEx Express, opf FedEx Feeder ; 907 ; 29.3 Years ;;
; N909FX ;ATR 42-300(F); Cargo ; 10 Nov 2003 ;lsf FedEx Express, opf FedEx Feeder ; 909 ; 30.4 Years ;;
; N910FX ;ATR 42-300(F); Cargo ; 14 Apr 2004 ;lsf FedEx Express, opf FedEx Feeder ; 910 ; 30.3 Years ;;
; N915FX ;ATR 42-300(F); Cargo ; 7 Sep 2004 ;lsf FedEx Express, opf FedEx Feeder ; 915 ; 30.4 Years ;;
; N916FX ;ATR 42-300(F); Cargo ; 22 Nov 2021 ;lsf FedEx Express, opf FedEx Feeder ; 916 ; 30.1 Years ;;
; N918FX ;ATR 42-300(F); Cargo ; 7 Sep 2004 ;lsf FedEx Express, opf FedEx Feeder ; 918 ; 30.5 Years ;;
; N920FX ;ATR 42-300(F); Cargo ; 27 Aug 2004 ;lsf FedEx Express, opf FedEx Feeder ; 920 ; 29.4 Years ;;
; N800FX ;ATR 72-212(F); Cargo ; 21 Jul 2010 ;lsf FedEx Express, opf FedEx Feeder ; 800 ; 29.3 Years ;;
; N802FX ;ATR 72-212(F); Cargo ; 9 Aug 2010 ;lsf FedEx Express, opf FedEx Feeder ; 802 ; 29.2 Years ;;
; N804FX ;ATR 72-212(F); Cargo ; 13 Aug 2010 ;lsf FedEx Express, opf FedEx Feeder ; 804 ; 28.7 Years ;;
; N806FX ;ATR 72-212(F); Cargo ; 2 Sep 2010 ;lsf FedEx Express, opf FedEx Feeder ; 806 ; 28.5 Years ;;
; N810FX ;ATR 72-202(F); Cargo ; 13 May 2004 ;lsf FedEx Express, opf FedEx Feeder ; 810 ; 30.9 Years ;;
; N811FX ;ATR 72-202(F); Cargo ; 25 Aug 2005 ;lsf FedEx Express, opf FedEx Feeder ; 811 ; 30.1 Years ;;
; N812FX ;ATR 72-212(F); Cargo ; 14 Jun 2005 ;lsf FedEx Express, opf FedEx Feeder ; 812 ; 28.1 Years ;;
; N820FX ;ATR 72-212(F); Cargo ; 25 Apr 2007 ;lsf FedEx Express, opf FedEx Feeder ; 820 ; 30.5 Years ;;
