;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; EI-IMB ;Airbus A319-112; CY144 ; 15 Oct 2021 ; Parked, lsd ; Gino Bartali ; 18.6 Years ;;;
; EI-IMC ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 18.4 Years ;;;
; EI-IMD ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 18.3 Years ;;;
; EI-IME ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 19.9 Years ;;;
; EI-IMF ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 18.3 Years ;;;
; EI-IMG ;Airbus A319-112; CY144 ; 15 Oct 2021 ; Parked, lsd ;; 18.3 Years ;;;
; EI-IMH ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 18.1 Years ;;;
; EI-IMI ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 19.8 Years ;;;
; EI-IMJ ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 19.6 Years ;;;
; EI-IML ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 18.1 Years ;;;
; EI-IMM ;Airbus A319-111; CY144 ; 15 Oct 2021 ;lsd ;; 10.7 Years ;;;
; EI-IMN ;Airbus A319-111; CY144 ; 15 Oct 2021 ;lsd ; Pietro Mennea ; 10.7 Years ;;;
; EI-IMO ;Airbus A319-112; CY144 ; 15 Oct 2021 ;lsd ;; 19.7 Years ;;;
; EI-IMS ;Airbus A319-111; CY144 ; 15 Oct 2021 ; Parked, lsd ;; 10.3 Years ;;;
; EI-IMV ;Airbus A319-111; CY144 ; 15 Oct 2021 ;lsd ;; 9.2 Years ;;;
; EI-IMW ;Airbus A319-111; CY144 ; 15 Oct 2021 ;lsd ;; 9.3 Years ;;;
; EI-IMX ;Airbus A319-111; CY144 ; 15 Oct 2021 ;lsd ;; 9.1 Years ;;;
; I-BIMA ;Airbus A319-112; CY144 ; 15 Oct 2021 ; Parked FCO ;; 19.9 Years ;;;
; EI-DSA ;Airbus A320-216; CY171 ; 15 Oct 2021 ; Parked, lsd ;; 15.6 Years ;;;
; EI-DSG ;Airbus A320-216; CY171 ; 15 Oct 2021 ;lsd ;; 14.9 Years ;;;
; EI-DSL ;Airbus A320-216; CY171 ; 15 Oct 2021 ;lsd ;; 14.3 Years ;;;
; EI-DSU ;Airbus A320-216; CY171 ; 15 Oct 2021 ;lsd ;; 13.6 Years ;;;
; EI-DSV ;Airbus A320-216; Y180 ; 15 Oct 2021 ;lsd ;; 13.5 Years ;;;
; EI-DSW ;Airbus A320-216; CY171 ; 15 Oct 2021 ;lsd ;; 13.5 Years ;;;
; EI-DSX ;Airbus A320-216; Y180 ; 15 Oct 2021 ;lsd ;; 13.4 Years ;;;
; EI-DSY ;Airbus A320-216; CY171 ; 15 Oct 2021 ;lsd ;; 13.4 Years ;;;
; EI-DSZ ;Airbus A320-216; Y180 ; 15 Oct 2021 ;lsd ;; 13.3 Years ;;;
