;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;;
; B-6083 ;Airbus A330-343; C38Y262 ; 16 Dec 2019 ;; 14.9 Years ;;;
; B-1149 ;Boeing 737-8 MAX; C8Y168 ; 15 Nov 2018 ; Parked TYN, lsd ; 3.3 Years ;;;
; B-1150 ;Boeing 737-8 MAX; C8Y168 ; 8 Nov 2018 ; Parked LHW, lsd ; 3.4 Years ;;;
; B-1152 ;Boeing 737-8 MAX; C8Y168 ; 14 Sep 2018 ; Parked TYN ; 3.5 Years ;;;
; B-1259 ;Boeing 737-8 MAX; C8Y168 ; 16 Mar 2018 ; Parked TYN, lsd ; 4 Years ;;;
; B-1260 ;Boeing 737-8 MAX; C8Y168 ; 20 Mar 2018 ; Parked LHW ; 4 Years ;;;
; B-1261 ;Boeing 737-8 MAX; C8Y168 ; 23 Apr 2018 ; Parked TYN, lsd ; 3.9 Years ;;;
; B-1263 ;Boeing 737-8 MAX; C8Y168 ; 29 Jun 2018 ; Parked LHW, lsd ; 3.7 Years ;;;
; B-1379 ;Boeing 737-8 MAX; C8Y168 ; 29 Nov 2017 ; Parked TYN, lsd ; 4.3 Years ;;;
; B-1381 ;Boeing 737-8 MAX; C8Y168 ; 23 Dec 2017 ; Parked TYN, lsd ; 4.2 Years ;;;
; B-1382 ;Boeing 737-8 MAX; C8Y168 ; 27 Nov 2017 ; Parked TYN, lsd ; 4.4 Years ;;;
; B-208M ;Boeing 737-8 MAX; C8Y168 ; 28 Feb 2019 ; Parked TYN, lsd ; 3 Years ;;;
; B-208W ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.9 Years ;;;
; B-20A3 ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.9 Years ;;;
; B-20AK ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.8 Years ;;;
; B-20AY ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.7 Years ;;;
; B-20CC ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.5 Years ;;;
; B-20D9 ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.4 Years ;;;
; B- ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 0.7 Years ;;;
; B- ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 0.6 Years ;;;
; B- ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 0.4 Years ;;;
; B- ;Boeing 737-8 MAX;; On Order ;; 0.2 Years ;;;
; B- ;Boeing 737-8 MAX;; On Order ;; 0.1 Years ;;;
; B-2913 ;Boeing 737-76D; C8Y120 ; 25 May 2000 ; Parked, lsd ; 21.8 Years ;;;
; B-5260 ;Boeing 737-76D(WL); C8Y120 ; 24 Sep 2009 ;; 12.5 Years ;;;
; B-5261 ;Boeing 737-76D(WL); C8Y120 ; 19 Oct 2009 ;; 12.4 Years ;;;
; B-5269 ;Boeing 737-76D(WL); C8Y120 ; 12 Apr 2010 ;; 11.9 Years ;;;
; B-5801 ;Boeing 737-76D(WL); C8Y120 ; 25 Feb 2013 ;; 9.1 Years ;;;
; B-1151 ;Boeing 737-89P(WL); C8Y168 ; 19 Sep 2018 ;lsd ; 3.5 Years ;;;
; B-1262 ;Boeing 737-89P(WL); C8Y168 ; 20 Mar 2018 ;; 4 Years ;;;
; B-1265 ;Boeing 737-89P(WL); C8Y168 ; 25 Jun 2018 ;lsd ; 3.7 Years ;;;
; B-1332 ;Boeing 737-89P(WL); C8Y168 ; 8 Sep 2017 ;lsd ; 4.5 Years ;;;
; B-1335 ;Boeing 737-89P(WL); C8Y168 ; 13 Oct 2017 ;lsd ; 4.4 Years ;;;
; B-1336 ;Boeing 737-89P(WL); C8Y168 ; 13 Nov 2017 ;lsd ; 4.3 Years ;;;
; B-1448 ;Boeing 737-89P(WL); C8Y168 ; 17 Jun 2017 ;lsd ; 4.7 Years ;;;
; B-1451 ;Boeing 737-89P(WL); C8Y168 ; 27 Jul 2017 ;lsd ; 4.6 Years ;;;
; B-1452 ;Boeing 737-89P(WL); C8Y168 ; 25 Aug 2017 ;lsd ; 4.5 Years ;;;
; B-1453 ;Boeing 737-89P(WL); C8Y168 ; 4 Aug 2017 ;lsd ; 4.6 Years ;;;
; B-1512 ;Boeing 737-89P(WL); C12Y150 ; 30 Jul 2015 ;lsd ; 6.6 Years ;;;
; B-1720 ;Boeing 737-86D(WL); C12Y150 ; 22 Oct 2014 ;lsd ; 7.4 Years ;;;
; B-1721 ;Boeing 737-86D(WL); C12Y150 ; 8 Dec 2014 ;; 7.3 Years ;;;
; B-1740 ;Boeing 737-86D(WL); C12Y150 ; 29 Jan 2015 ;lsd ; 7.1 Years ;;;
; B-1741 ;Boeing 737-86D(WL); C12Y150 ; 11 Mar 2015 ;lsd ; 7 Years ;;;
; B-1742 ;Boeing 737-86D(WL); C12Y150 ; 15 May 2015 ;; 6.8 Years ;;;
; B-1900 ;Boeing 737-86D(WL); C12Y150 ; 5 Dec 2013 ;; 8.3 Years ;;;
; B-1901 ;Boeing 737-86D(WL); C8Y156 ; 21 Oct 2013 ;lsd ; 8.4 Years ;;;
; B-1948 ;Boeing 737-86D(WL); C12Y150 ; 10 Mar 2014 ;; 8 Years ;;;
; B-1949 ;Boeing 737-89P(WL); C8Y162 ; 14 Jan 2014 ;lsd ; 8.2 Years ;;;
; B-1967 ;Boeing 737-86D(WL); C12Y150 ; 10 Jun 2014 ;lsd ; 7.7 Years ;;;
; B-1968 ;Boeing 737-86D(WL); C12Y150 ; 15 Aug 2014 ;lsd ; 7.6 Years ;;;
; B-206W ;Boeing 737-89P(WL); C8Y168 ; 18 Oct 2018 ;lsd ; 3.4 Years ;;;
; B-207G ;Boeing 737-89P(WL); C8Y168 ; 29 Nov 2018 ;lsd ; 3.3 Years ;;;
