;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; PH-NXA ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; 24 Feb 2021 ;lsd ; NXA-045 ; 1.1 Years ;;;
; PH-NXB ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; 27 Feb 2021 ;; NXB-047 ; 1.1 Years ;;;
; PH-NXC ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; 19 Apr 2021 ;lsd ; NXC-051 ; 0.9 Years ;;;
; PH-NXD ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; 16 May 2021 ;lsd ; NXD-054 ; 0.8 Years ;;;
; PH-NXE ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; 24 Nov 2021 ;; NXE-060 ; 0.4 Years ;;;
; PH-NXF ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; 26 Nov 2021 ;lsd ; NXF-061 ; 0.4 Years ;;;
; PH-NXG ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; 2 Dec 2021 ;lsd ; NXG-062 ; 0.3 Years ;;;
; PH-NXH ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; 25 Feb 2022 ;;; 0.1 Years ;;;
; PH-NXI ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; On Order ;;;;;;
; PH-NXJ ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; On Order ;;;;;;
; PH-NXK ;Embraer E195-E2 (ERJ 190-400 STD);; On Order ;;;;;;
; PH-NXL ;Embraer E195-E2 (ERJ 190-400 STD);; On Order ;;;;;;
; PH- ;Embraer E195-E2 (ERJ 190-400 STD); CY132 ; On Order ;;;;;;
; PH-EXG ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 19 Mar 2016 ;; EXG-546 ; 6 Years ;;;
; PH-EXH ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 17 Jun 2016 ;; EXH-564 ; 5.8 Years ;;;
; PH-EXI ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 26 Aug 2016 ;; EXI-578 ; 5.6 Years ;;;
; PH-EXJ ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 21 Oct 2016 ; Parked ; EXJ-597 ; 5.4 Years ;;;
; PH-EXK ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 3 Feb 2017 ;; EXK-629 ; 5.1 Years ;;;
; PH-EXL ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 17 Feb 2017 ;; EXL-633 ; 5.1 Years ;;;
; PH-EXM ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 17 Mar 2017 ;; EXM-639 ; 5 Years ;;;
; PH-EXN ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 22 May 2017 ;; EXN-659 ; 4.8 Years ;;;
; PH-EXO ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 23 Jun 2017 ;; EXO-668 ; 4.7 Years ;;;
; PH-EXP ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 25 Jul 2017 ;; EXP-678 ; 4.6 Years ;;;
; PH-EXR ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 9 Nov 2017 ;; EXR-697 ; 4.4 Years ;;;
; PH-EXS ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 18 Dec 2017 ;; EXS-702 ; 4.3 Years ;;;
; PH-EXT ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 30 Jan 2018 ;; EXT-707 ; 4.1 Years ;;;
; PH-EXU ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 21 Feb 2018 ;; EXU-708 ; 4.1 Years ;;;
; PH-EXW ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 13 Mar 2018 ;; EXW-710 ; 4.1 Years ;;;
; PH-EXX ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 15 Mar 2018 ;; EXX-711 ; 4.1 Years ;;;
; PH-EXZ ;Embraer ERJ-175STD (ERJ-170-200); CY88 ; 26 Apr 2018 ;; EXZ-723 ; 3.9 Years ;;;
