;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; HK-4806 ;ATR 42-500; Y48 ; 23 Nov 2011 ;lsd ; FAC-1184 ;; 25.3 Years ;;
; HK-4862 ;ATR 42-500; Y48 ; 5 Jul 2012 ;lsd ; FAC-1187 ;; 23.3 Years ;;
; HK-4979 ;ATR 42-500; Y48 ; 8 Oct 2013 ;; FAC-1191 ;; 22.2 Years ;;
; HK-5104 ;ATR 42-500; Y48 ; 17 Dec 2014 ;lsd ; FAC-1190 ;; 17.3 Years ;;
; HK-5114 ;ATR 42-600;; 17 Jun 2015 ;lsd ; FAC-1192 ;; 6.7 Years ;;
; HK-5129 ;ATR 42-600;; 23 Sep 2015 ;lsd ; FAC-1193 ;; 6.7 Years ;;
; HK-5130 ;ATR 42-600;; 28 Nov 2015 ;lsd ; FAC-1194 ;; 6.3 Years ;;
; HK-4525 ;Embraer ERJ-145LR; Y50 ; 23 Dec 2003 ;; FAC-1171 ; Millenium I ; 18.2 Years ;;
; HK-4535 ;Embraer ERJ-145LR; Y50 ; 14 Jan 2004 ;; FAC-1172 ; Millenium II ; 18.2 Years ;;
