;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; EI-KBK ;Airbus A320-271N; C16Y132 ; 11 Nov 2021 ;lsd ;; 2 Years ;;
; EI-KBL ;Airbus A320-271N; C16Y132 ; 9 Nov 2021 ;lsd ;; 2 Years ;;
; EI-KBM ;Airbus A320-271N; C16Y132 ; 21 Oct 2021 ;lsd ;; 1.9 Years ;;
; P4-KBI ;Airbus A320-271N; C16Y132 ; 29 Jun 2019 ;lsd ;; 3.1 Years ;;
; P4-KBJ ;Airbus A320-271N; C16Y132 ; 8 Jul 2019 ;lsd ;; 3 Years ;;
; EI-KDA ;Airbus A321-231; C28Y151 ; 18 Oct 2021 ;lsd ; Kulyash ; 9.3 Years ;;
; EI-KDB ;Airbus A321-231; C28Y151 ; 10 Sep 2021 ;; Aliya ; 9.2 Years ;;
; EI-KDC ;Airbus A321-271N; C28Y151 ; 29 Nov 2021 ;lsd ;; 4.8 Years ;;
; EI-KDE ;Airbus A321-271N; C28Y151 ; 30 Nov 2021 ;lsd ;; 3.6 Years ;;
; EI-KGD ;Airbus A321-271NX; C16Y150 ; 8 Sep 2021 ;lsd ;; 1.4 Years ;;
; EI-KGE ;Airbus A321-271NX; C16Y150 ; 30 Nov 2021 ;lsd ;; 1.1 Years ;;
; EI-KGG ;Airbus A321-271NX; C16Y150 ; 1 Dec 2021 ;lsd ;; 0.5 Years ;;
; P4-KDD ;Airbus A321-271N; C28Y151 ; 1 Jun 2018 ;lsd ;; 3.8 Years ;;
; P4-KDF ;Airbus A321-271N; C28Y151 ; 26 Sep 2019 ;lsd ;; 2.5 Years ;;
; P4-KGA ;Airbus A321-271NX; C16Y150 ; 20 Sep 2019 ;lsd ;; 2.6 Years ;;
; P4-KGB ;Airbus A321-271NX; C16Y150 ; 27 Feb 2020 ; Parked, lsd ;; 2 Years ;;
; P4-KGC ;Airbus A321-271NX; C16Y150 ; 26 Aug 2020 ;lsd ;; 1.6 Years ;;
; P4-KGF ;Airbus A321-271NX; C16Y150 ; 23 Aug 2021 ;lsd ;; 0.8 Years ;;
; P4-KEA ;Boeing 767-3KYER(WL); C30Y193 ; 25 Sep 2013 ;;; 8.5 Years ;;
; P4-KEB ;Boeing 767-3KYER(WL); C30Y193 ; 18 Oct 2013 ; Parked ; Sara ; 8.4 Years ;;
; P4-KEC ;Boeing 767-3KYER(WL); Cargo (Covid-19) ; 26 Jun 2014 ;;; 7.7 Years ;;
; EI-KHA ;Embraer E190-E2 (ERJ-190-300 STD); C12Y96 ; 20 Oct 2021 ;lsd, Snow Leopard cs ;; 3.5 Years ;;
; EI-KHB ;Embraer E190-E2 (ERJ-190-300 STD); C12Y96 ; 30 Nov 2021 ; Parked, lsd ;; 3 Years ;;
; P4-KHC ;Embraer E190-E2 (ERJ-190-300 STD); C12Y96 ; 22 May 2019 ; Parked, lsd ;; 2.8 Years ;;
; P4-KHD ;Embraer E190-E2 (ERJ-190-300 STD); C12Y96 ; 24 Jul 2019 ;lsd ;; 2.7 Years ;;
; P4-KHE ;Embraer E190-E2 (ERJ-190-300 STD); C12Y96 ; 1 Nov 2019 ;lsd ;; 2.4 Years ;;
