;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; C-FDJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;lsd, opf Air Canada Express ; 162 ; 17.5 Years ;;;
; C-FEJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;lsd, opf Air Canada Express ; 163 ; 17.5 Years ;;;
; C-FFJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;lsd, opf Air Canada Express ; 164 ; 17.3 Years ;;;
; C-FIJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;lsd, opf Air Canada Express ; 165 ; 17.3 Years ;;;
; C-FZJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;lsd, opf Air Canada Express ; 166 ; 17.3 Years ;;;
; C-GGJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;opf Air Canada Express ; 167 ; 17.3 Years ;;;
; C-GJZZ ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;lsd, opf Air Canada Express ; 161 ; 17.5 Years ;;;
; C-GMJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ; Parked, opf Air Canada Express ; 168 ; 17.2 Years ;;;
; C-GNJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 25 Oct 2019 ;opf Air Canada Express ; 130 ; 17.2 Years ;;;
; C-GOJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 29 Oct 2019 ;opf Air Canada Express ; 133 ; 17.2 Years ;;;
; C-GQJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;lsd, opf Air Canada Express ; 171 ; 17.5 Years ;;;
; C-GTJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 30 Oct 2019 ;opf Air Canada Express ; 132 ; 17.5 Years ;;;
; C-GUJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 2 Feb 2006 ;opf Air Canada Express ; 173 ; 17.1 Years ;;;
; C-GXJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 15 Oct 2019 ;opf Air Canada Express ; 131 ; 17 Years ;;;
; C-GZJA ;Bombardier CRJ-200ER (CL-600-2B19); Y50 ; 4 Dec 2019 ;opf Air Canada Express ; 134 ; 17 Years ;;;
; C-FBJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 2 Feb 2006 ;opf Air Canada Express ; 702 ; 16.8 Years ;;;
; C-FCJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 2 Feb 2006 ;opf Air Canada Express ; 703 ; 16.7 Years ;;;
; C-FDJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 2 Feb 2006 ; Parked, opf Air Canada Express ; 704 ; 16.7 Years ;;;
; C-FIJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 7 Dec 2019 ;opf Air Canada Express ; 780 ; 15.5 Years ;;;
; C-FJFZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 27 Nov 2020 ;opf Air Canada Express ; 728 ; 1.3 Years ;;;
; C-FJGZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 17 Dec 2020 ;opf Air Canada Express ; 729 ; 1.2 Years ;;;
; C-FJJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 2 Feb 2006 ;opf Air Canada Express ; 705 ; 16.7 Years ;;;
; C-FJQZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 10 Feb 2021 ;opf Air Canada Express ; 730 ; 1.1 Years ;;;
; C-FJZD ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 3 Jan 2017 ;opf Air Canada Express ; 717 ; 5.4 Years ;;;
; C-FJZL ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 5 Jan 2017 ;opf Air Canada Express ; 718 ; 5.4 Years ;;;
; C-FJZN ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 27 Jun 2019 ;lsd, opf Air Canada Express ; 781 ; 15.4 Years ;;;
; C-FKJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 2 Feb 2006 ;opf Air Canada Express ; 706 ; 16.7 Years ;;;
; C-FLJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 2 Feb 2006 ; Parked, opf Air Canada Express ; 707 ; 16.7 Years ;;;
; C-FNJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 2 Feb 2006 ;opf Air Canada Express ; 708 ; 16.7 Years ;;;
; C-FOJZ ;Bombardier CRJ-900LR (CL-600-2D24); C12Y64 ; 14 May 2019 ;lsd, opf Air Canada Express ; 782 ; 15.4 Years ;;;
