;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; D-BDTD ;Dornier Do-328JET-310;; 29 Aug 2019 ; Parked TED ; 21.1 Years ;;
; OY-JJB ;Dornier Do-328JET-310; C14 ; 10 Aug 2012 ;opf JoinJet ; 20.2 Years ;;
; OY-JJG ;Dornier Do-328JET-310; Y28 ; 17 Jun 2015 ; Parked BLL, opf JoinJet ; 20.2 Years ;;
; OY-JJH ;Dornier Do-328JET-310; Y32 ; 3 Sep 2015 ; Parked BLL, opf JoinJet ; 21.5 Years ;;
; OY-NCI ;Dornier Do-328JET-300; Y32 ; 8 Nov 2018 ; Parked BLL, opf British Airways ; 22 Years ;;
; OY-NCJ ;Dornier Do-328JET-310; Y32 ; 25 Jun 2015 ; Parked BLL ; 20.9 Years ;;
; OY-NCL ;Dornier Do-328JET-310; Y32 ; 6 Jul 2007 ; Parked BLL, opf British Airways ; 20.6 Years ;;
; OY-NCM ;Dornier Do-328JET-310; Y32 ; 6 Oct 2006 ;opf British Airways ; 20.8 Years ;;
; OY-NCN ;Dornier Do-328JET-310; Y32 ; 16 Mar 2007 ; Parked TED, opf British Airways ; 20.6 Years ;;
; OY-NCO ;Dornier Do-328JET-310; Y32 ; 20 Jul 2005 ; Parked, opf British Airways ; 20 Years ;;
; OY-NCP ;Dornier Do-328JET-300; Y32 ; 28 Jan 2010 ; Parked BLL, opf British Airways ; 22.3 Years ;;
; OY-NCS ;Dornier Do-328JET-310; Y32 ; 4 Jan 2022 ;opf JoinJet ; 22 Years ;;
; OY-NCU ;Dornier Do-328JET-300; Y32 ; 21 May 2013 ; Parked TED, opf British Airways ; 22.8 Years ;;
; OY-NCW ;Dornier Do-328JET-300; Y32 ; 18 Feb 2013 ;opf British Airways ; 22.3 Years ;;
