;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-ANG ;Airbus A350-1041; C46Y281 ; 1 Mar 2019 ;lsd ;; 3.1 Years ;;;
; A7-ANH ;Airbus A350-1041; C46Y281 ; 7 May 2019 ;lsd ;; 3 Years ;;;
; A7-ANI ;Airbus A350-1041; C46Y281 ; 5 Jun 2019 ;lsd ;; 2.9 Years ;;;
; A7-ANJ ;Airbus A350-1041; C46Y281 ; 27 Sep 2019 ;lsd ;; 2.7 Years ;;;
; A7-ANK ;Airbus A350-1041; C46Y281 ; 4 Dec 2019 ;;; 2.5 Years ;;;
; A7-ANL ;Airbus A350-1041; C46Y281 ; 4 Dec 2019 ;lsd ;; 2.4 Years ;;;
; A7-ANM ;Airbus A350-1041; C46Y281 ; 7 Dec 2019 ;;; 2.4 Years ;;;
; A7-ANN ;Airbus A350-1041; C46Y281 ; 20 Dec 2019 ;;; 2.3 Years ;;;
; A7-ANO ;Airbus A350-1041; C46Y281 ; 22 Oct 2020 ;;; 2 Years ;;;
; A7-ANP ;Airbus A350-1041; C46Y281 ; 27 Feb 2020 ;;; 2.1 Years ;;;
; A7-ANQ ;Airbus A350-1041; C46Y281 ; 22 Oct 2020 ;;; 2 Years ;;;
; A7-ANR ;Airbus A350-1041; C46Y281 ; 22 Oct 2020 ;;; 1.8 Years ;;;
; A7-ANS ;Airbus A350-1041; C46Y281 ; 31 Dec 2020 ;;; 1.5 Years ;;;
; A7-AOB ;Airbus A350-1041; C46Y281 ; On Order ;;; 0.1 Years ;;;
; A7-AOC ;Airbus A350-1041;; On Order ;;;;;;
; A7-AOD ;Airbus A350-1041;; On Order ;;;;;;
; A7-AOE ;Airbus A350-1041;; On Order ;;;;;;
; A7-ALA ;Airbus A350-941; C36Y247 ; 18 Dec 2014 ; Parked DOH, lsd ; سودانثيل (Sudanthel) ; 7.4 Years ;;;
; A7-ALB ;Airbus A350-941; C36Y247 ; 4 Mar 2015 ; Parked DOH, lsd ; الفديريات ; 7.1 Years ;;;
; A7-ALC ;Airbus A350-941; C36Y247 ; 7 May 2015 ; Parked DOH, lsd ;; 6.9 Years ;;;
; A7-ALD ;Airbus A350-941; C36Y247 ; 11 Jun 2015 ; Parked DOH, lsd ;; 6.8 Years ;;;
; A7-ALE ;Airbus A350-941; C36Y247 ; 29 Oct 2015 ; Parked DOH, lsd ;; 6.6 Years ;;;
; A7-ALF ;Airbus A350-941; C36Y247 ; 30 Oct 2015 ; Parked DOH, lsd ;; 6.5 Years ;;;
; A7-ALG ;Airbus A350-941; C36Y247 ; 20 Nov 2015 ; Parked DOH, lsd ;; 6.4 Years ;;;
; A7-ALH ;Airbus A350-941; C36Y247 ; 7 Mar 2016 ; Parked, lsd ;; 6.1 Years ;;;
; A7-ALI ;Airbus A350-941; C36Y247 ; 1 Jul 2016 ; Parked, lsd ;; 6 Years ;;;
; A7-ALJ ;Airbus A350-941; C36Y247 ; 1 Aug 2016 ;lsd ;; 5.8 Years ;;;
; A7-ALK ;Airbus A350-941; C36Y247 ; 22 Sep 2016 ;lsd ;; 5.7 Years ;;;
; A7-ALL ;Airbus A350-941; C36Y247 ; 1 Nov 2016 ; Parked TLS, lsd ;; 5.5 Years ;;;
; A7-ALM ;Airbus A350-941; C36Y247 ; 20 Dec 2016 ;lsd ;; 5.4 Years ;;;
; A7-ALN ;Airbus A350-941; C36Y247 ; 27 Feb 2017 ;lsd ;; 5.1 Years ;;;
; A7-ALO ;Airbus A350-941; C36Y247 ; 25 Oct 2017 ;lsd ;; 4.5 Years ;;;
; A7-ALP ;Airbus A350-941; C36Y247 ; 23 May 2017 ; Parked, lsd ;; 4.9 Years ;;;
; A7-ALQ ;Airbus A350-941; C36Y247 ; 10 Oct 2017 ;lsd ;; 4.8 Years ;;;
; A7-ALR ;Airbus A350-941; C36Y247 ; 18 Dec 2017 ;lsd ;; 4.5 Years ;;;
; A7-ALS ;Airbus A350-941; C36Y247 ; 10 Oct 2017 ;lsd ;; 4.7 Years ;;;
; A7-ALT ;Airbus A350-941; C36Y247 ; 24 Nov 2017 ; Parked DOH, lsd ;; 4.4 Years ;;;
; A7-ALU ;Airbus A350-941; C36Y247 ; 24 Apr 2018 ;lsd ;; 4 Years ;;;
; A7-ALV ;Airbus A350-941; C36Y247 ; 29 May 2018 ; Parked DOH, lsd ;; 3.9 Years ;;;
; A7-ALW ;Airbus A350-941; C36Y247 ; 20 Jun 2018 ; Parked DOH, lsd ;; 3.8 Years ;;;
; A7-ALX ;Airbus A350-941; C36Y247 ; 13 Jul 2018 ; Parked, lsd ;; 3.7 Years ;;;
; A7-ALY ;Airbus A350-941; C36Y247 ; 29 Dec 2017 ;lsd ;; 4.3 Years ;;;
; A7-ALZ ;Airbus A350-941; C36Y247 ; 18 Apr 2018 ;lsd, oneworld cs ;; 4 Years ;;;
; A7-AME ;Airbus A350-941; C36Y247 ; 10 Sep 2018 ; Parked, lsd ;; 3.6 Years ;;;
; A7-AMF ;Airbus A350-941; C36Y247 ; 28 Sep 2018 ; Parked, lsd ;; 3.5 Years ;;;
; A7-AMG ;Airbus A350-941; C36Y247 ; 26 Oct 2018 ; Parked, lsd ;; 3.4 Years ;;;
; A7-AMH ;Airbus A350-941; C36Y247 ; 25 Jan 2019 ;lsd ;; 3.2 Years ;;;
; A7-AMI ;Airbus A350-941; C36Y247 ; 19 Mar 2019 ;;; 3.1 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; A7-AMJ ;Airbus A350-941; C36Y247 ; 6 May 2019 ;lsd ;; 2.9 Years ;;;
; A7-AMK ;Airbus A350-941; C36Y247 ; 27 Jun 2019 ;lsd ;; 2.8 Years ;;;
; A7-AML ;Airbus A350-941; C36Y247 ; 27 Sep 2019 ;lsd ;; 2.7 Years ;;;
; A7-APA ;Airbus A380-861; F8C48Y461 ; 15 Sep 2014 ; Parked DIA ; عذبة (Athba) ; 8.6 Years ;;;
; A7-APB ;Airbus A380-861; F8C48Y461 ; 10 Nov 2014 ; Parked DIA ; العصيمية (Al-Aasimia) ; 8.3 Years ;;;
; A7-APC ;Airbus A380-861; F8C48Y461 ; 1 Dec 2014 ; Parked DIA ; الخرارة (Al-Kharrara) ; 8 Years ;;;
; A7-APD ;Airbus A380-861; F8C48Y461 ; 23 Dec 2014 ; Parked DIA ; الصخامة (Al-Sakhama) ; 7.8 Years ;;;
; A7-APE ;Airbus A380-861; F8C48Y461 ; 11 Jun 2015 ; Parked DIA ;; 7.1 Years ;;;
; A7-APF ;Airbus A380-861; F8C48Y461 ; 9 Oct 2015 ; Parked DIA ;; 6.9 Years ;;;
; A7-APG ;Airbus A380-861; F8C48Y461 ; 16 Dec 2016 ;;; 5.7 Years ;;;
; A7-APH ;Airbus A380-861; F8C48Y461 ; 5 May 2017 ;;; 5.2 Years ;;;
; A7-API ;Airbus A380-861; F8C48Y461 ; 18 Dec 2017 ;;; 4.6 Years ;;;
; A7-APJ ;Airbus A380-861; F8C48Y461 ; 24 Apr 2018 ; Parked ;; 4.2 Years ;;;
; A7-BGA ;Boeing 747-87UF; Cargo ; 13 Dec 2017 ;;; 8.9 Years ;;;
; A7-BGB ;Boeing 747-83QF; Cargo ; 22 Sep 2017 ;;; 5.1 Years ;;;
; A7-BBA ;Boeing 777-2DZLR; C42Y217 ; 3 Feb 2009 ;;; 13.1 Years ;;;
; A7-BBB ;Boeing 777-2DZLR; C42Y230 ; 23 Feb 2009 ;; Gaza ; 13.1 Years ;;;
; A7-BBC ;Boeing 777-2DZLR; C42Y217 ; 10 Nov 2009 ;;; 12.4 Years ;;;
; A7-BBD ;Boeing 777-2DZLR; C42Y217 ; 7 Dec 2009 ;;; 12.3 Years ;;;
; A7-BBE ;Boeing 777-2DZLR; C42Y217 ; 22 Dec 2009 ;;; 12.2 Years ;;;
; A7-BBG ;Boeing 777-2DZLR; C42Y230 ; 28 Jul 2010 ;;; 11.6 Years ;;;
; A7-BBH ;Boeing 777-2DZLR; C42Y217 ; 4 Aug 2010 ;;; 11.6 Years ;;;
; A7-BBI ;Boeing 777-2DZLR; C42Y217 ; 30 Sep 2011 ;FIFA World Cup Qatar 2022 cs ;; 10.5 Years ;;;
; A7-BAA ;Boeing 777-3DZER; C42Y316 ; 27 Nov 2007 ;oneworld cs ; الخطية ; 14.3 Years ;;;
; A7-BAB ;Boeing 777-3DZER; C42Y316 ; 18 Dec 2007 ;oneworld cs ; Um-Alamad ; 14.2 Years ;;;
; A7-BAC ;Boeing 777-3DZER; C42Y316 ; 29 Aug 2008 ;Retro cs ; فريحه ; 13.6 Years ;;;
; A7-BAE ;Boeing 777-3DZER; C42Y316 ; 4 Mar 2009 ;;; 13 Years ;;;
; A7-BAF ;Boeing 777-3DZER; C42Y316 ; 29 Sep 2009 ;oneworld cs ;; 12.5 Years ;;;
