;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; VH-JQG ;Airbus A320-232; Y180 ; 13 Mar 2020 ;opf QantasLink ; 17.9 Years ;;
; VH-JQL ;Airbus A320-232; Y180 ; 14 Nov 2019 ;opf QantasLink ; 17.8 Years ;;
; VH-JQX ;Airbus A320-232; Y180 ; 16 Oct 2020 ;opf QantasLink ; 17.7 Years ;;
; VH-UVJ ;Airbus A320-232; Y180 ; 24 Mar 2021 ;opf QantasLink ; 17.1 Years ;;
; VH-UVK ;Airbus A320-232; Y180 ; 11 Dec 2020 ;opf QantasLink ; 17.4 Years ;;
; VH-UVO ;Airbus A320-232; Y180 ; 19 Oct 2020 ;opf QantasLink ; 16.8 Years ;;
; VH-UVP ;Airbus A320-232; Y180 ; 15 Dec 2020 ;opf QantasLink ; 16.3 Years ;;
; VH-UVQ ;Airbus A320-232; Y180 ; 1 Jun 2021 ;opf QantasLink ; 16.9 Years ;;
; VH-VQS ;Airbus A320-232; Y180 ; 22 Mar 2018 ;opf QantasLink ; 16.6 Years ;;
; VH-VQU ;Airbus A320-232; Y180 ; 13 Apr 2018 ;opf QantasLink ; 16.8 Years ;;
; VH-VQZ ;Airbus A320-232; Y180 ; 23 Jul 2021 ;opf QantasLink ; 17.4 Years ;;
; VH-NHA ;Fokker F100; Y100 ; 21 Jul 2016 ;opf QantasLink ; 28.1 Years ;;
; VH-NHC ;Fokker F100; Y100 ; 18 Aug 2015 ;opf QantasLink ; 28.3 Years ;;
; VH-NHF ;Fokker F100; Y100 ; 11 Jan 2013 ;opf QantasLink ; 28.8 Years ;;
; VH-NHG ;Fokker F100; Y100 ; 22 Dec 2011 ;opf QantasLink ; 27.8 Years ;;
; VH-NHI ;Fokker F100; Y100 ; 1 Mar 2013 ; Parked, opf QantasLink ; 28.4 Years ;;
; VH-NHJ ;Fokker F100; Y100 ; 31 Jul 2013 ;opf QantasLink ; 28.7 Years ;;
; VH-NHK ;Fokker F100; Y100 ; 18 Jul 2012 ;opf QantasLink ; 28.7 Years ;;
; VH-NHM ;Fokker F100; Y100 ; 27 Nov 2012 ;opf QantasLink ; 28.9 Years ;;
; VH-NHN ;Fokker F100; Y100 ; 19 Apr 2012 ;opf QantasLink ; 28.6 Years ;;
; VH-NHO ;Fokker F100; Y100 ; 20 Mar 2008 ;opf QantasLink ; 31.6 Years ;;
; VH-NHP ;Fokker F100; Y100 ; 19 Feb 2008 ; Parked, opf QantasLink ; 29.8 Years ;;
; VH-NHQ ;Fokker F100; Y100 ; 31 Jan 2012 ;opf QantasLink ; 28 Years ;;
; VH-NHV ;Fokker F100; Y100 ; 21 Feb 2012 ;opf QantasLink ; 28.2 Years ;;
; VH-NHY ;Fokker F100; Y100 ; 23 Jun 2015 ;opf QantasLink ; 28.6 Years ;;
; VH-NHZ ;Fokker F100; Y100 ; 18 Oct 2016 ;opf QantasLink ; 27.8 Years ;;
; VH-NPU ;Fokker F100; Y100 ; 28 Nov 2016 ;opf QantasLink ; 28 Years ;;
; VH-NQE ;Fokker F100; Y100 ; 7 Sep 2012 ;opf QantasLink ; 28.8 Years ;;
; VH-NQZ ;Fokker F100; Y100 ; 14 Apr 2021 ; Parked, opf QantasLink ; 26.3 Years ;;
; VH- ;Fokker F100; Y100 ; Due ; Stored ; 28.7 Years ;;
