;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; 5N-ADB ;Boeing 737-36Q(WL);; 1 Feb 2021 ;;; 22.6 Years ;;
; 5N-BBM ;Boeing 737-3H4(WL); C12Y128 ; 20 Nov 2017 ;; Hajiya Murjanatu Bara'u ; 24.9 Years ;;
; 5N-DAB ;Boeing 737-36Q(WL);; 17 Feb 2021 ;;; 22.3 Years ;;
; 5N-DMB ;Boeing 737-3H4(WL); C12Y128 ; 6 Nov 2017 ;; Late Alhaji Bara'u Jakur ; 24.7 Years ;;
; 5N-MHM ;Boeing 737-3H4(WL); C12Y128 ; 20 Nov 2017 ;;; 24.9 Years ;;
; 5N-MBD ;Boeing 737-4D7;; 10 Dec 2021 ;; Late Nurudeen Dahiru Barau Mangal ; 24.3 Years ;;
; 5N-ADM ;Boeing 747-422;; 18 Jul 2018 ; Parked MZJ ; Alhaji Dahiru Barau Mangal ; 21.8 Years ;;
; 5N-DBK ;Boeing 747-4B5; C16Y516 ; Jul 2016 ; Parked KAN ;; 25.3 Years ;;
; 5N-HMM ;Boeing 747-4B5; C16Y516 ; 2 Jul 2016 ;;; 23.6 Years ;;
; 5N-BXK ;Embraer EMB-135BJ Legacy 650; VIP ; 19 Oct 2019 ;;; 13.2 Years ;;
; 5N- ;Embraer ERJ-145LR;; Due ; Stored ;; 20.1 Years ;;
