;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; B-MBC ;Airbus A320-232; C8Y150 ; 13 Jan 2014 ;lsd ; Lotus ; 12.1 Years ;;
; B-MCB ;Airbus A320-232; C8Y150 ; 23 Jul 2015 ; Parked ; Hao Jiang ; 9.1 Years ;;
; B-MCF ;Airbus A320-232(WL); C8Y150 ; 26 Jan 2016 ;lsd ; Ilha da Taipa ; 6.2 Years ;;
; B-MCH ;Airbus A320-232(WL); C8Y150 ; 21 Mar 2018 ;; Farol Da Guia ; 4.9 Years ;;
; B-MCI ;Airbus A320-232; C8Y150 ; 29 Jan 2019 ;The historic centre of Macao cs ; Cidade de Macau ; 11.8 Years ;;
; B-MCJ ;Airbus A320-232; C8Y150 ; 21 Feb 2019 ;; The Guia ; 8.6 Years ;;
; B-MBO ;Airbus A320-271N; C8Y150 ; 29 May 2019 ; Parked, lsd ; Oriental ; 2.8 Years ;;
; B-MBP ;Airbus A320-271N; C8Y150 ; 13 Dec 2019 ;; Nam Van ; 2.4 Years ;;
; B-MCK ;Airbus A320-271N; C8Y150 ; 28 Mar 2019 ;lsd ; Friendship ; 3.1 Years ;;
; B-MCL ;Airbus A320-271N; C8Y150 ; 24 Apr 2019 ;lsd ; Hou Kuong ; 3 Years ;;
; B-MBA ;Airbus A321-231; C24Y155 ; 5 Feb 2013 ;lsd ; Synergy ; 9.1 Years ;;
; B-MBB ;Airbus A321-231; C24Y155 ; 27 Mar 2013 ;lsd, Macao - Creative City of Gastronomy cs ; Fortune ; 8.9 Years ;;
; B-MBM ;Airbus A321-231(WL); C24Y155 ; 28 Oct 2014 ;Macau Welcomes You cs ; Prosperous ; 7.4 Years ;;
; B-MCA ;Airbus A321-231(WL); C24Y155 ; 13 Mar 2015 ;lsd ; Flourish ; 7 Years ;;
; B-MCC ;Airbus A321-231(WL); C24Y155 ; 29 Oct 2015 ;lsd ; Wo Kuong ; 6.4 Years ;;
; B-MCD ;Airbus A321-231(WL); C24Y155 ; 21 Dec 2015 ;lsd ; Silk Road ; 6.2 Years ;;
; B-MCE ;Airbus A321-231(WL); C24Y155 ; 19 Jan 2016 ;lsd ; Auspicious ; 6.1 Years ;;
; B-MCG ;Airbus A321-231(WL); C12Y170 ; 19 Jun 2017 ;lsd ; Long Wan ; 6.6 Years ;;
; B-MBQ ;Airbus A321-271NX; C12Y186 ; 12 Dec 2019 ; Parked, lsd, Macau Welcomes You cs ; Reunificação ; 2.2 Years ;;
; B-MBR ;Airbus A321-271NX; C12Y186 ; 31 Dec 2020 ;lsd ; Camões Garden ; 1.6 Years ;;
; B-MBS ;Airbus A321-271NX; C12Y186 ; 28 May 2021 ;lsd ; Hou Seng ; 0.8 Years ;;
; B-MBT ;Airbus A321-271NX; C12Y186 ; 19 Jul 2021 ;lsd ; Hou Keng ; 0.6 Years ;;
