;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-FFFX ;Boeing 737-8 MAX; Y189 ; On Order ;lsd ;; 2.2 Years ;;
; C-FFLZ ;Boeing 737-8 MAX; Y189 ; On Order ;lsd ;; 2.2 Years ;;
; C-FLDX ;Boeing 737-8 MAX; Y189 ; On Order ;lsd ;; 2.6 Years ;;
; C-FLRS ;Boeing 737-8 MAX; Y189 ; On Order ;lsd ;; 2.1 Years ;;
; C- ;Boeing 737-8 MAX;; On Order ;lsd ;; 3 Years ;;
; C-FFLA ;Boeing 737-86N(WL); Y189 ; 28 Mar 2019 ;lsd ; 801 ; 11.7 Years ;;
; C-FFLC ;Boeing 737-86J(WL); Y189 ; 13 Aug 2019 ;W. J. (Bill) Hardy, lsd ; 802 ; 11.4 Years ;;
; C-FFLJ ;Boeing 737-86J(WL); Y189 ; 29 Aug 2019 ;lsd ; 803 ; 11.1 Years ;;
; C-FFEL ;Boeing 737-8 MAX; Y189 ; 7 Jun 2021 ;lsd ; 901 ; 2.4 Years ;;
; C-FLEJ ;Boeing 737-8 MAX; Y189 ; 26 May 2021 ;lsd ; 902 ; 2.5 Years ;;
; C-FLHI ;Boeing 737-8 MAX; Y189 ; 10 Jun 2021 ;lsd ; 903 ; 2.5 Years ;;
; C-FFBC ;Boeing 737-8 MAX; Y189 ; 29 Jun 2021 ;lsd ; 904 ; 2.4 Years ;;
; C-FLKA ;Boeing 737-8 MAX; Y189 ; 16 Jul 2021 ;lsd ; 905 ; 2.4 Years ;;
; C-FLKC ;Boeing 737-8 MAX; Y189 ; 30 Jun 2021 ;lsd ; 906 ; 2.3 Years ;;
; C-FLKD ;Boeing 737-8 MAX; Y189 ; 28 Jul 2021 ;lsd ; 907 ; 2.3 Years ;;
; C-FLKI ;Boeing 737-8 MAX; Y189 ; 27 Jul 2021 ;lsd ; 908 ; 2.3 Years ;;
; C-FLKJ ;Boeing 737-8 MAX; Y189 ; 16 Nov 2021 ;lsd ; 909 ; 2.3 Years ;;
