;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; D-AAHO ;Embraer EMB-135BJ Legacy 650; VIP ; 24 Nov 2020 ;; 11 Years ;;
; D-AEOT ;Embraer EMB-135BJ Legacy 600; C13 ; 7 Jun 2020 ;; 13 Years ;;
; D-AERO ;Embraer EMB-135BJ Legacy 650; VIP ; 12 Jun 2015 ;; 6.8 Years ;;
; D-AFBS ;Embraer EMB-135BJ Legacy 650; VIP ; 25 Jan 2019 ;; 6.4 Years ;;
; D-AFUN ;Embraer EMB-135BJ Legacy 650; VIP ; 18 Dec 2014 ;; 9 Years ;;
; D-AHOI ;Embraer EMB-135BJ Legacy 650; VIP ; 24 Sep 2015 ;; 8.8 Years ;;
; D-AHOS ;Embraer EMB-135BJ Legacy 650; VIP ; 24 Feb 2017 ;; 7.1 Years ;;
; D-AHOX ;Embraer EMB-135BJ Legacy 650; VIP ; 26 Nov 2015 ;; 6.4 Years ;;
; D-AIRG ;Embraer EMB-135BJ Legacy 650E; VIP ; 31 Oct 2018 ;; 3.4 Years ;;
; D-AIRV ;Embraer EMB-135BJ Legacy 650E; C13 ; 14 Mar 2019 ;; 3 Years ;;
; D-AIRZ ;Embraer EMB-135BJ Legacy 650E; VIP ; 6 Nov 2019 ;; 2.4 Years ;;
; D-AJET ;Embraer EMB-135BJ Legacy 650E; VIP ; 27 Jul 2017 ;;;;
; D-ALOA ;Embraer EMB-135BJ Legacy 650; VIP ; 15 Sep 2016 ;; 5.5 Years ;;
; D-ANCE ;Embraer EMB-135BJ Legacy 650E; VIP ; 18 Jun 2020 ;; 2.2 Years ;;
; D-ANXA ;Embraer EMB-135BJ Legacy 650; VIP ; 21 Oct 2021 ;; 9.3 Years ;;
; D-ARMY ;Embraer EMB-135BJ Legacy 650E; VIP ; 28 Sep 2017 ;; 4.6 Years ;;
; D-ASAP ;Embraer EMB-135BJ Legacy 650E; VIP ; 30 Nov 2017 ;;;;
; D-ATOP ;Embraer EMB-135BJ Legacy 650E; VIP ; 31 Jul 2018 ;; 3.6 Years ;;
; D-AVIB ;Embraer EMB-135BJ Legacy 600; VIP ; Sep 2013 ;; 12.6 Years ;;
; D-AWIN ;Embraer EMB-135BJ Legacy 650E; VIP ; 14 Jun 2018 ;; 3.7 Years ;;
; D-AZUR ;Embraer EMB-135BJ Legacy 650; VIP ; 2 Apr 2016 ;; 6 Years ;;
; D-ANNI ;Embraer Lineage 1000 (ERJ-190-100 ECJ); VIP ; 16 Sep 2021 ;; 9 Years ;;
; D-AWOW ;Embraer Lineage 1000 (ERJ-190-100 ECJ); VIP ; 21 Jun 2021 ;; 4.1 Years ;;
