;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; N397SW ;Boeing 737-3H4(WL); Y138 ; 1 Jan 2020 ;; 397 ; 27.1 Years ;;
; N529AU ;Boeing 737-3B7; Y138 ; 1 Jan 2020 ;; 529 ; 32.9 Years ;;
; N531AU ;Boeing 737-3B7; Y138 ; 1 Jan 2020 ;; 531 ; 32.7 Years ;;
; N623SW ;Boeing 737-3H4(WL); Y138 ; 1 Jan 2020 ;; 623 ; 26 Years ;;
; N625SW ;Boeing 737-3H4(WL); Y138 ; 1 Jan 2020 ;; 625 ; 25.9 Years ;;
; N626SW ;Boeing 737-3H4(WL); Y138 ; 1 Jan 2020 ;; 626 ; 25.9 Years ;;
; N627SW ;Boeing 737-3H4(WL); Y138 ; 1 Jan 2020 ;; 627 ; 25.8 Years ;;
; N629SW ;Boeing 737-3H4(WL); Y138 ; 1 Jan 2020 ;; 629 ; 25.8 Years ;;
; N811TJ ;Boeing 737-306(BDSF); Cargo ; 1 Jan 2020 ;; 811 ; 35.4 Years ;;
; N149XA ;Boeing 737-484; Y150 ; 1 Jan 2020 ;; 149 ; 28.8 Years ;;
; N263LM ;Boeing 737-4Q3;; 14 Oct 2021 ; Parked MIA ;; 27.8 Years ;;
; N285XA ;Boeing 737-4Q8; Y150 ; 1 Jan 2020 ;; 285 ; 29.1 Years ;;
; N307GT ;Boeing 737-4H6(SF); Cargo ; 15 Jun 2020 ;lsd, opf DHL ;; 28.6 Years ;;
; N309GT ;Boeing 737-4Q8(SF); Cargo ; 11 Jul 2020 ;opf DHL ;; 25.9 Years ;;
; N313XA ;Boeing 737-484; Y150 ; 1 Jan 2020 ;; 313 ; 30.5 Years ;;
; N314XA ;Boeing 737-484; Y150 ; 1 Jan 2020 ;; 314 ; 30.5 Years ;;
; N418US ;Boeing 737-401; Y150 ; 1 Jan 2020 ;; 418 ; 33.1 Years ;;
; N420US ;Boeing 737-401; Y150 ; 1 Jan 2020 ; Parked ; 420 ; 32.9 Years ;;
; N430XA ;Boeing 737-484; Y150 ; 1 Jan 2020 ;; 430 ; 30.3 Years ;;
; N438US ;Boeing 737-4B7; Y150 ; 1 Jan 2020 ;; 438 ; 31.9 Years ;;
; N440US ;Boeing 737-4B7; Y150 ; 1 Jan 2020 ;; 440 ; 31.7 Years ;;
; N458UW ;Boeing 737-4B7; Y150 ; 1 Jan 2020 ;; 458 ; 31 Years ;;
; N538CC ;Boeing 737-48E; Y150 ; 1 Jan 2020 ;; 538 ; 25.8 Years ;;
; N545CC ;Boeing 737-48E; Y150 ; 1 Jan 2020 ;; 545 ; 25.5 Years ;;
; N801TJ ;Boeing 737-4B7; Y150 ; 1 Jan 2020 ; Parked ; 801 ; 31.3 Years ;;
; N802TJ ;Boeing 737-4B7; Y150 ; 1 Jan 2020 ;; 802 ; 31.4 Years ;;
; N803TJ ;Boeing 737-45D; Y150 ; 1 Jan 2020 ;; 803 ; 28.7 Years ;;
; N804TJ ;Boeing 737-401; Y150 ; 1 Jan 2020 ;; 804 ; 32.8 Years ;;
; N806TJ ;Boeing 737-490; Y150 ; 1 Jan 2020 ;; 806 ; 29.5 Years ;;
; N807TJ ;Boeing 737-4Q8; Y150 ; 1 Jan 2020 ;; 807 ; 29.7 Years ;;
; N808TJ ;Boeing 737-4Q8; Y150 ; 1 Jan 2020 ; Parked ; 808 ; 28.9 Years ;;
; N276EA ;Boeing 737-8AL(WL); Y189 ; 1 Jan 2020 ;lsd ; 276 ; 15.3 Years ;;
; N277EA ;Boeing 737-8CX(WL); Y189 ; 1 Jan 2020 ;lsd ; 277 ; 20.2 Years ;;
; N471BS ;Boeing 737-86J(BDSF)(WL); Cargo ; 20 Nov 2021 ;lsf DHL, opf DHL ;; 21.8 Years ;;
; N624XA ;Boeing 737-86J(WL); Y189 ; 1 Jan 2020 ;; 624 ; 20.5 Years ;;
; N67TC ;Boeing 737-8FH(BDSF)(WL); Cargo ; 6 Feb 2021 ;lsf DHL, opf DHL ;; 16.9 Years ;;
; N707HP ;Boeing 737-883(BDSF)(WL); Cargo ; 9 Oct 2021 ;opf DHL ;; 21.5 Years ;;
; N737KT ;Boeing 737-86N(BDSF)(WL); Cargo ; 8 May 2020 ;lsf DHL, opf DHL ; 737 ; 21.9 Years ;;
; N820TJ ;Boeing 737-8Q8(WL); Y189 ; 1 Jan 2020 ; Parked, lsd ; 820 ; 23.3 Years ;;
; N859AM ;Boeing 737-8Q8(SF)(WL); Cargo ; 2 Jul 2021 ;lsd, opf DHL ;; 19.1 Years ;;
; N916BR ;Boeing 737-8AS(SF)(WL); Cargo ; 9 Oct 2021 ;lsd ;; 23 Years ;;
; N916SC ;Boeing 737-86J(BDSF)(WL); Cargo ; 2 May 2020 ;opf DHL ;; 22.2 Years ;;
; N917XA ;Boeing 737-86J(WL); Y189 ; 1 Jan 2020 ;; 917 ; 19.5 Years ;;
; N827RC ;Boeing 767-35HER(WL);; Due ; Stored, lsd ;; 29.4 Years ;;
